Reference	Predection	F1_score
to ensure that the image covers the whole screen	overscan	0
at Bordentown	Bordentown	0.6666666666666666
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0
polymorphic	polymorphic	1.0
neutrons and protons	The atom can be considered to be one of the fundamental building blocks of all matter	0
bits	bits	1.0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch	0.2857142857142857
towards the end of the Middle Ages	end of the Middle Ages	0.888888888888889
the crusades	crusades	1.0
the Thirty Years' War	the Thirty Years' War	1.0
class	occupations were open to all male applicants	0
strokes	The player who takes the fewest strokes, or swings of the club, to complete the course wins	0.14285714285714288
to eliminate one or more of the possible hypotheses	experimentation, and an experiment is a test that is used to eliminate one or more of the possible hypotheses	0.6666666666666666
thousands of years	late 16th century	0
expressed variation	the pool of expressed variation	0.6666666666666666
Mutation	Mutation	1.0
 through a distinctive and symbolic use of style	through a distinctive and symbolic use of style	1.0
tend to not do well in school	tend to not do well in school	1.0
the length of time between REM states	the length of time between REM states	1.0
the Late Middle Ages	Late Middle Ages	1.0
visual system sensory organs	visual system sensory organs or eyes	0.8
the requirements of the organism	visual system sensory organs or eyes	0
several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	several small tombs, several temples, and the great Sphinx	0.6666666666666666
to honor the Pharaoh Khufu	The great pyramid was created to honor the Pharaoh Khufu	0.6666666666666666
Strabo	Strabo	1.0
stop this traffic	the German navy, using mainly U-boats, was trying to stop this traffic.	0.42857142857142855
saddle	The saddle had not yet been invented	0.2857142857142857
on horseback	on the bare backs of their horses	0.25
in 1922	1922	0.6666666666666666
the discovery of his tomb	one of the most well known ancient Egyptian kings in modern times	0.13333333333333333
Pythagoras	Pythagoras	1.0
in the open air	in the open air	1.0
the house	Most of the life of the Hebrew family happened in the open air	0
Eskimo tribes	Erik the Red	0
the rich men	Romans	0
