Reference	Predection	F1_score
to ensure that the image covers the whole screen	overscan	0
at Bordentown	Bordentown	0.6666666666666666
John Hancock and the Secretary Charles Thomson	The original handwritten copy has not survived	0
along the fence on the north end of the Colonist's position	New Hampshire	0
polymorphic	polymorphic	1.0
negative	negative electric charge	0.5
neutrons and protons	The atom	0
bits	1	0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Raymond Damadian	0
towards the end of the Middle Ages	towards the end of the Middle Ages	1.0
the crusades	crusades	1.0
Spanish	The War of Spanish Succession	0.4
the Thirty Years' War	the Thirty Years' War	1.0
class	after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.	0
transportation	transportation systems. Almost everyone complains about transportation systems	0.2222222222222222
germ-line cells can be passed on to children	Only mutations in germ-line cells	0.3076923076923077
strokes	The player who takes the fewest strokes, or swings of the club, to complete the course wins	0.14285714285714288
the green	the grass around the hole is mown shorter and called the green	0.19999999999999998
to eliminate one or more of the possible hypotheses	Science’s main goal is to figure out the way the world works through the scientific method	0.09523809523809525
thousands of years	thousands and thousands of years	0.7499999999999999
expressed variation	Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed	0.2222222222222222
Mutation	Mutation	1.0
 through a distinctive and symbolic use of style	Subcultures bring together like-minded individuals who feel neglected by societal standards	0
tend to not do well in school	children who identify with a racial minority that is stereotyped as not doing well in school tend to not do well in school	0.4827586206896552
cultural tourism	cultural tourism	1.0
recalling previous instances of entrepreneurial behavior and resulting successes	lessened the fears of change, while creating positive inclinations toward change in the future	0.09523809523809525
the length of time between REM states	how often your brain attempts to lucidly dream per night	0
the Early Middle Ages	Early Middle Ages	1.0
the Late Middle Ages	Late Middle Ages	1.0
visual system sensory organs	visual system sensory organs or eyes	0.8
the requirements of the organism	There are many different constructions of eyes, ranging in complexity depending on the requirements of the organism	0.33333333333333337
several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	The Giza Plateau, or ""Giza Necropolis	0
