Annotator,link,question_number,flores_passage,question,dialect,ds,multi-choice_answer,Span,Belebele problem?
Anonymous,https://en.wikibooks.org/wiki/All_About_Converting_From_Several_Video_Formats_To_DVD,1,"One of the most common problems when trying to convert a movie to DVD format is the overscan. Most televisions are made in a way to please the general public. For that reason, everything you see on the TV had the borders cut, top, bottom and sides. This is made to ensure that the image covers the whole screen. That is called overscan. Unfortunately, when you make a DVD, it's borders will most likely be cut too, and if the video had subtitles too close to the bottom, they won't be fully shown.",Why do the images on television have their borders cut?,eng_Latn,05/03/2023,So the image fills the entire screen,"One of the most common problems when trying to convert a movie to DVD format is the overscan. Most televisions are made in a way to please the general public. For that reason, everything you see on the TV had the borders cut, top, bottom and sides. This is made $!to ensure that the image covers the whole screen!$. That is called overscan. Unfortunately, when you make a DVD, it's borders will most likely be cut too, and if the video had subtitles too close to the bottom, they won't be fully shown.",No
Anonymous,https://en.wikibooks.org/wiki/American_Revolution/The_Battles_of_Trenton_and_Princeton,2,"The American plan relied on launching coordinated attacks from three different directions. General John Cadwalder would launch a diversionary attack against the British garrison at Bordentown, in order to block off any reinforcements. General James Ewing would take 700 militia across the river at Trenton Ferry, seize the bridge over the Assunpink Creek and prevent any enemy troops from escaping. The main assault force of 2,400 men would cross the river nine miles north of Trenton, and then split into two groups, one under Greene and one under Sullivan, in order to launch a pre-dawn attack.",Where was there a British garrison located?,eng_Latn,05/03/2023,Bordentown,"The American plan relied on launching coordinated attacks from three different directions. General John Cadwalder would launch a diversionary attack against the British garrison $!at Bordentown!$, in order to block off any reinforcements. General James Ewing would take 700 militia across the river at Trenton Ferry, seize the bridge over the Assunpink Creek and prevent any enemy troops from escaping. The main assault force of 2,400 men would cross the river nine miles north of Trenton, and then split into two groups, one under Greene and one under Sullivan, in order to launch a pre-dawn attack.",No
Anonymous,https://en.wikibooks.org/wiki/American_Revolution/The_Declaration_of_Independence,1,"""After its adoption by Congress on July 4, a handwritten draft signed by the President of Congress John Hancock and the Secretary Charles Thomson was then sent a few blocks away to the printing shop of John Dunlap. Through the night between 150 and 200 copies were made, now known as """"Dunlap broadsides"""". The first public reading of the document was by John Nixon in the yard of Independence Hall on July 8. One was sent to George Washington on July 6, who had it read to his troops in New York on July 9. A copy reached London on August 10. The 25 Dunlap broadsides still known to exist are the oldest surviving copies of the document. The original handwritten copy has not survived.""",Whose signature appeared on the handwritten draft?,eng_Latn,05/03/2023,Charles Thomson,"""After its adoption by Congress on July 4, a handwritten draft signed by the President of Congress $!John Hancock and the Secretary Charles Thomson!$ was then sent a few blocks away to the printing shop of John Dunlap. Through the night between 150 and 200 copies were made, now known as """"Dunlap broadsides"""". The first public reading of the document was by John Nixon in the yard of Independence Hall on July 8. One was sent to George Washington on July 6, who had it read to his troops in New York on July 9. A copy reached London on August 10. The 25 Dunlap broadsides still known to exist are the oldest surviving copies of the document. The original handwritten copy has not survived.""",No
Anonymous,https://en.wikibooks.org/wiki/American_Revolution/Ticonderoga_and_Bunker_Hill,1,"The Colonists, seeing this activity, had also called for reinforcements. Troops reinforcing the forward positions included the 1st and 3rd New Hampshire regiments of 200 men, under Colonels John Stark and James Reed (both later became generals). Stark's men took positions along the fence on the north end of the Colonist's position. When low tide opened a gap along the Mystic River along the northeast of the peninsula, they quickly extended the fence with a short stone wall to the north ending at the water's edge on a small beach. Gridley or Stark placed a stake about 100 feet (30 m) in front of the fence and ordered that no one fire until the regulars passed it.",Where were Colonel Stark’s troops situated?,eng_Latn,05/03/2023,"On the north end, along the fence","The Colonists, seeing this activity, had also called for reinforcements. Troops reinforcing the forward positions included the 1st and 3rd New Hampshire regiments of 200 men, under Colonels John Stark and James Reed (both later became generals). Stark's men took positions $!along the fence on the north end of the Colonist's position!$. When low tide opened a gap along the Mystic River along the northeast of the peninsula, they quickly extended the fence with a short stone wall to the north ending at the water's edge on a small beach. Gridley or Stark placed a stake about 100 feet (30 m) in front of the fence and ordered that no one fire until the regulars passed it.",No
Anonymous,https://en.wikibooks.org/wiki/Animal_Behavior/Population_Genetics,1,A population is the collection of organisms of a particular species within a given geographic area. When all individuals in a population are identical with regard to a particular phenotypic trait they are known as monomorphic. When the individuals show several variants of a particular trait they are polymorphic.,Which term describes individuals that display variances of a certain phenotypic trait?,eng_Latn,05/03/2023,Polymorphic,A population is the collection of organisms of a particular species within a given geographic area. When all individuals in a population are identical with regard to a particular phenotypic trait they are known as monomorphic. When the individuals show several variants of a particular trait they are $!polymorphic!$.,No
Anonymous,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Basics,1,"The atom can be considered to be one of the fundamental building blocks of all matter. Its a very complex entity which consists, according to a simplified Bohr model, of a central nucleus orbited by electrons, somewhat similar to planets orbiting the sun - see Figure 1.1. The nucleus consists of two particles - neutrons and protons. Protons have a positive electric charge while neutrons have no charge. The electrons have a negative electric charge.",The particles that orbit the nucleus have which type of charge?,eng_Latn,05/03/2023,Negative charge,"The atom can be considered to be one of the fundamental building blocks of all matter. Its a very complex entity which consists, according to a simplified Bohr model, of a central nucleus orbited by electrons, somewhat similar to planets orbiting the sun - see Figure 1.1. The nucleus consists of two particles - neutrons and protons. Protons have a positive electric charge while neutrons have no charge. The electrons have a $!negative!$ electric charge.",BB
Anonymous,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Basics,2,"The atom can be considered to be one of the fundamental building blocks of all matter. Its a very complex entity which consists, according to a simplified Bohr model, of a central nucleus orbited by electrons, somewhat similar to planets orbiting the sun - see Figure 1.1. The nucleus consists of two particles - neutrons and protons. Protons have a positive electric charge while neutrons have no charge. The electrons have a negative electric charge.",The nucleus is composed of which particles?,eng_Latn,05/03/2023,Protons and neutrons,"The atom can be considered to be one of the fundamental building blocks of all matter. Its a very complex entity which consists, according to a simplified Bohr model, of a central nucleus orbited by electrons, somewhat similar to planets orbiting the sun - see Figure 1.1. $!neutrons and protons!$. Protons have a positive electric charge while neutrons have no charge. The electrons have a negative electric charge.",No
Anonymous,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Computer,2,"Virtually all computers in use today are based on the manipulation of information which is coded in the form of binary numbers. A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or bits, to use computer jargon.",Binary digits are also referred to as what?,eng_Latn,05/03/2023,Bits,"Virtually all computers in use today are based on the manipulation of information which is coded in the form of binary numbers. A binary number can have only one of two values, i.e. 0 or 1, and these numbers are referred to as binary digits - or $!bits!$, to use computer jargon.",No
Anonymous,https://en.wikibooks.org/wiki/Castles_of_England/The_Development_of_the_Castle,1,"The traditional medieval castle has long inspired the imagination, conjuring up images of jousts, banquets and Arthurian chivalry. Even standing amidst thousand year-old ruins it is easy to bring to mind the sounds and smells of battles long gone, to almost hear the clatter of hooves on the cobbles and to smell the fear rising from the dungeon pits. But is our imagination based on reality? Why were castles built in the first place? How were they designed and built?",What is not mentioned in the passage as something one might associate with medieval castles?,eng_Latn,05/03/2023,Knights,X,No
Anonymous,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Behavioural_and_Neuroscience_Methods,1,"MRI is based on a physics phenomenon called nuclear magnetic resonance (NMR), which was discovered in the 1930s by Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University). In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals. In the year 1970, Raymond Damadian, a medical doctor and research scientist, discovered the basis for using magnetic resonance imaging as a tool for medical diagnosis. Four years later a patent was granted, which was the world's first patent issued in the field of MRI. In 1977, Dr. Damadian completed the construction of the first “whole-body” MRI scanner, which he called the ”Indomitable”.",Who discovered nuclear magnetic resonance?,eng_Latn,05/03/2023,Bloch and Purcell,"MRI is based on a physics phenomenon called nuclear magnetic resonance (NMR), which was discovered in the 1930s by $!Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)!$. In this resonance, magnetic field and radio waves cause atoms to give off tiny radio signals. In the year 1970, Raymond Damadian, a medical doctor and research scientist, discovered the basis for using magnetic resonance imaging as a tool for medical diagnosis. Four years later a patent was granted, which was the world's first patent issued in the field of MRI. In 1977, Dr. Damadian completed the construction of the first “whole-body” MRI scanner, which he called the ”Indomitable”.",No
