Reference	Predection	F1_score
للتأكد من أن الصورة تغطي الشاشة بأكملها	الأعلى والأسفل و الجانبين	0
في بوردينتاون	بوردينتاون	0.6666666666666666
جون هانكوك وأمين السر تشارلز طومسون	لم يُكتب لها النجاة	0
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	تمركز رجال ستارك في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	0.8571428571428571
متعددو الأشكال	أحاديو الشكل	0
سالبة	النيوترونات ليس لها شحنة، أما الإلكترونات فشحنتها سالبة	0.2222222222222222
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0
بتّات	بتّات	1.0
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ	0.33333333333333337
في نهاية العصور الوسطى	نهاية العصور الوسطى	0.8571428571428571
للحروب الصليبية	للحروب الصليبية	1.0
الإسبانية	الخلافة الإسبانية	0.6666666666666666
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0
الطبقة	كانت المهن مفتوحةً لجميع المتقدّمين الذكور	0
المواصلات	أنظمة المواصلات	0.6666666666666666
يمكن فقط نقل الطفرات في خلايا الخط الجرثومي إلى الأطفال	خلايا الخط الإنتاشي	0.30769230769230765
الضربات	اللاعب الذي يقوم بأقل عدد من الضربات، أو التلويحات بالمضرب، لإكمال الدورة يفوز	0
الخضراء	ويُقصّ العشب المحيط بالحفرة	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.8571428571428571
آلاف وآلاف السنين	آلاف وآلاف السنين	1.0
الاختلافات التعبيريّةً	التنوعات الچينية	0
 الطفرة 	الطفرة	1.0
من خلال استخدام مختلف ورمزي للأسلوب	يشير أعضاء الثقافات الفرعية إلى عضويتهم من خلال استخدام مختلف ورمزي للأسلوب الذي يتضمن الملابس، والتكلف، والاصطلاح	0.5217391304347826
لا يحققون نتائج جيدة في المدرسة	يميل الأطفال الذين ينتمون إلى أقلية عرقية يخضع أفرادها للتنميط بأنهم لا يحققون نتائج جيدة في المدرسة	0.5217391304347826
السياحة الثقافية	الترفيهية	0
استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	يتوقّف التأثير على معدّل تكرار محاولة مخّك للوصول إلى الحُلم الصافِ كل ليلة	0
