Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
to ensure that the image covers the whole screen	overscan	0.0	ensure image covers whole screen	overscan	0.0	0
at Bordentown	Bordentown	0.6666666666666666	Bordentown	Bordentown	1.0	1
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636	John Hancock Secretary Charles Thomson	President Congress John Hancock	0.4444444444444445	0
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0	along fence north end Colonist 's position	along fence north end Colonist 's position	1.0	1
polymorphic	polymorphic	1.0	polymorphic	polymorphic	1.0	1
negative	negative	1.0	negative	negative	1.0	1
neutrons and protons	The atom can be considered to be one of the fundamental building blocks of all matter	0.0	neutrons protons	atom considered one fundamental building blocks matter	0.0	0
bits	bits	1.0	bits	bits	1.0	1
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch	0.2857142857142857	Felix Bloch ( working Stanford University ) Edward Purcell ( Harvard University )	Felix Bloch	0.3636363636363636	0
towards the end of the Middle Ages	end of the Middle Ages	0.888888888888889	towards end Middle Ages	end Middle Ages	0.8571428571428571	0
the crusades	crusades	1.0	crusades	crusades	1.0	1
Spanish	Spanish Succession	0.6666666666666666	Spanish	Spanish Succession	0.6666666666666666	0
the Thirty Years' War	the Thirty Years' War	1.0	Thirty Years ' War	Thirty Years ' War	1.0	1
class	occupations were open to all male applicants	0.0	class	occupations open male applicants	0.0	0
transportation	transportation	1.0	transportation	transportation	1.0	1
germ-line cells can be passed on to children	the type of mutation	0.0	germ-line cells passed children	type mutation	0.0	0
strokes	The player who takes the fewest strokes, or swings of the club, to complete the course wins	0.1428571428571428	strokes	player takes fewest strokes , swings club , complete course wins	0.19999999999999998	0
the green	the green	1.0	green	green	1.0	1
to eliminate one or more of the possible hypotheses	experimentation, and an experiment is a test that is used to eliminate one or more of the possible hypotheses	0.6666666666666666	eliminate one possible hypotheses	experimentation , experiment test used eliminate one possible hypotheses	0.6666666666666666	0
thousands of years	late 16th century	0.0	thousands years	late 16th century	0.0	0
expressed variation	the pool of expressed variation	0.6666666666666666	expressed variation	pool expressed variation	0.8	0
Mutation	Mutation	1.0	Mutation	Mutation	1.0	1
 through a distinctive and symbolic use of style	through a distinctive and symbolic use of style	1.0	distinctive symbolic use style	distinctive symbolic use style	1.0	1
tend to not do well in school	tend to not do well in school	1.0	tend well school	tend well school	1.0	1
cultural tourism	cultural tourism	1.0	cultural tourism	cultural tourism	1.0	1
recalling previous instances of entrepreneurial behavior and resulting successes	Such success stories lessened the fears of change, while creating positive inclinations toward change in the future	0.0833333333333333	recalling previous instances entrepreneurial behavior resulting successes	success stories lessened fears change , creating positive inclinations toward change future	0.0	0
the length of time between REM states	the length of time between REM states	1.0	length time REM states	length time REM states	1.0	1
the Early Middle Ages	Early Middle Ages	1.0	Early Middle Ages	Early Middle Ages	1.0	1
the Late Middle Ages	Late Middle Ages	1.0	Late Middle Ages	Late Middle Ages	1.0	1
visual system sensory organs	visual system sensory organs or eyes	0.8	visual system sensory organs	visual system sensory organs eyes	0.888888888888889	0
the requirements of the organism	visual system sensory organs or eyes	0.0	requirements organism	visual system sensory organs eyes	0.0	0
