Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
للتأكد من أن الصورة تغطي الشاشة بأكملها	للتأكد من أن الصورة تغطي الشاشة بأكملها	1.0	للتأكد الصورة تغطي الشاشة بأكملها	للتأكد الصورة تغطي الشاشة بأكملها	1.0	1
في بوردينتاون	بوردينتاون	0.6666666666666666	بوردينتاون	بوردينتاون	1.0	1
جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5	جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5	0
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	0.9411764705882352	مواقع بطول السياج الطرف الشمالي لمكان المستعمر	مواقع بطول السياج الطرف الشمالي لمكان المستعمر	1.0	1
متعددو الأشكال	أحاديو الشكل	0.0	متعددو الأشكال	أحاديو الشكل	0.0	0
سالبة	سالبة	1.0	سالبة	سالبة	1.0	1
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0	النيوترونات والبروتونات	النيوترونات والبروتونات	1.0	1
بتّات	بتّات	1.0	بتّات	بتّات	1.0	1
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل	0.8235294117647058	فيليكس بلوخ ( جامعة ستانفورد ) وإدوارد بورسيل ( جامعة هارفارد )	فيليكس بلوخ ( جامعة ستانفورد ) وإدوارد بورسيل	0.8571428571428571	0
في نهاية العصور الوسطى	بطء قنوات التواصل	0.0	نهاية العصور الوسطى	بطء قنوات التواصل	0.0	0
للحروب الصليبية	بدأ الناس في استخدام الأزرار لربط الملابس	0.0	للحروب الصليبية	بدأ الناس استخدام الأزرار لربط الملابس	0.0	0
الإسبانية	الخلافة الإسبانية	0.6666666666666666	الإسبانية	الخلافة الإسبانية	0.6666666666666666	0
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0	حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0	1
الطبقة	الأعيرة	0.0	الطبقة	الأعيرة	0.0	0
المواصلات	أنظمة المواصلات	0.6666666666666666	المواصلات	أنظمة المواصلات	0.6666666666666666	0
يمكن فقط نقل الطفرات في خلايا الخط الجرثومي إلى الأطفال	خلايا الخط الجرثومي	0.4615384615384615	يمكن فقط نقل الطفرات خلايا الخط الجرثومي الأطفال	خلايا الخط الجرثومي	0.5454545454545454	0
الضربات	ضربات	0.0	الضربات	ضربات	0.0	0
الخضراء	المحيط بالحفرة	0.0	الخضراء	المحيط بالحفرة	0.0	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	الاختبار الذي يمكن استخدامه لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.6666666666666665	تفنيد واحدة الفرضيات المحتملة	الاختبار يمكن استخدامه لتفنيد واحدة الفرضيات المحتملة	0.5454545454545454	0
آلاف وآلاف السنين	لجعل الأشياء البعيدة تبدو أقرب وأضخم	0.0	آلاف وآلاف السنين	لجعل الأشياء البعيدة تبدو أقرب وأضخم	0.0	0
الاختلافات التعبيريّةً	التنوعات الچينية	0.0	الاختلافات التعبيريّةً	التنوعات الچينية	0.0	0
 الطفرة 	الفصل وإعادة التركيب	0.0	الطفرة	الفصل وإعادة التركيب	0.0	0
من خلال استخدام مختلف ورمزي للأسلوب	استخدام مختلف ورمزي للأسلوب الذي يتضمن الملابس، والتكلف، والاصطلاح	0.5333333333333333	خلال استخدام مختلف ورمزي للأسلوب	استخدام مختلف ورمزي للأسلوب يتضمن الملابس، والتكلف، والاصطلاح	0.6153846153846154	0
لا يحققون نتائج جيدة في المدرسة	الأداء غير الجيد في المدرسة	0.3636363636363636	يحققون نتائج جيدة المدرسة	الأداء الجيد المدرسة	0.28571428571428575	0
السياحة الثقافية	السياحة الثقافية	1.0	السياحة الثقافية	السياحة الثقافية	1.0	1
استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0.0	استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0.0	0
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	الأحلام الصافية	0.0	طول المدة الزمنية تكون حالات حركة العين السريعة	الأحلام الصافية	0.0	0
العصور الوسطى المبكرة	بالعصور الوسطى العليا	0.3333333333333333	العصور الوسطى المبكرة	بالعصور الوسطى العليا	0.3333333333333333	0
