Reference	Predection	F1_score
للتأكد من أن الصورة تغطي الشاشة بأكملها	للتأكد من أن الصورة تغطي الشاشة بأكملها	1.0
في بوردينتاون	بوردينتاون	0.6666666666666666
جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	0.9411764705882353
متعددو الأشكال	أحاديو الشكل	0
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0
بتّات	بتّات	1.0
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل	0.8235294117647058
في نهاية العصور الوسطى	بطء قنوات التواصل	0
للحروب الصليبية	بدأ الناس في استخدام الأزرار لربط الملابس	0
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0
الطبقة	الأعيرة	0
الضربات	ضربات	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	الاختبار الذي يمكن استخدامه لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.6666666666666665
آلاف وآلاف السنين	لجعل الأشياء البعيدة تبدو أقرب وأضخم	0
الاختلافات التعبيريّةً	التنوعات الچينية	0
 الطفرة 	الفصل وإعادة التركيب	0
من خلال استخدام مختلف ورمزي للأسلوب	استخدام مختلف ورمزي للأسلوب الذي يتضمن الملابس، والتكلف، والاصطلاح	0.5333333333333333
لا يحققون نتائج جيدة في المدرسة	الأداء غير الجيد في المدرسة	0.3636363636363636
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	الأحلام الصافية	0
 أواخر العصور الوسطى	بالعصور الوسطى العليا	0.3333333333333333
على أعضاء الحس في جهاز الرؤية	أعضاء الحس في جهاز الرؤية أو العينين	0.7692307692307692
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	1.0
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666
سترابو	سترابو	1.0
 التصدي لهذا الغزو 	التصدي لهذا الغزو	1.0
السرج	لم يكن السرج قد اخترع بعد، لذلك قاتل الفرسان الآشوريون على ظهور خيولهم العارية	0.13333333333333333
على ظهور الخيل	على ظهور خيولهم العارية	0.5714285714285715
في عام 1922	1922	0.5
اكتشاف قبره	اكتشاف قبره	1.0
فيثاغورس	هوميروس	0
في الهواء الطلق	الهواء الطلق	0.8
للمنزل	للمنزل	1.0
قبائل الإسكيمو	إريك الأحمر	0
الرجال الأغنياء	الفقراء والنساء يأكلون طعامهم وهم جالسون على المقاعد، كان الرجال الأغنياء	0.3076923076923077
من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية	من خلال عدد أيونات الهيدروجين	0.5882352941176471
الإلكترونات	بروتونات منزوعة الإلكترونات	0.5
القطط متوسطة الحجم	القطط متوسطة الحجم	1.0
غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0
الشمس	تصنع النباتات طعامها من الشمس	0.33333333333333337
ثاني أكسيد الكربون	ثاني أكسيد الكربون	1.0
الأوردة	العضو الرئيسي	0
الشعيرات الدموية	الشعيرات الدموية	1.0
الثورة البلجيكية	الثورة البلجيكية	1.0
23،764	23،764 كيلومتر مربع	0.5
المراسم الدينيّة	الإيطالية	0
استخدام ضوء ساطع في تحفيز الذرات	لاستخدام ضوء ساطع	0.4444444444444444
النرويج	نرويجي	0
حوالي القرن الخامس عشر	القرن الخامس عشر	0.8571428571428571
الأبجدية الألمانية	تأثير ثقافي كبير من ألمانيا	0
 الهانجول 	اخترعت عن قصد	0
الغاز	سماكة الغاز	0.6666666666666666
النّفط	الزراعة	0
ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0
حالته الكيميائية	حالته الكيميائية	1.0
مقلوباً	مقلوباً	1.0
هجين أوركيد	عبارة عن هجين أوركيد	0.6666666666666666
بريطانيا	بريطانيا	1.0
عملية أسد البحر 	عملية أسد البحر	1.0
يحكم فرنسا ""فيشي	فيشي	0.5
الأمريكيون والقوات الفرنسية الحرة	الشعب الفرنسي	0
الرادار	عندما بدأ الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء لتفادي كشفها	0.125
الرّماية	الحرب العالميّة الأولى والثّانية	0
 أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	قُتل	0
في طبرق	بنيران صديقة أثناء هبوطه في طبرق	0.5
جاي شانكار شودري	لاكها سينغ	0
غنت المغنية التركية ""سيزين أكسو"" مع الإيطالي ""أليساندرو سافينا"" والمغني اليوناني ""هاريس أليكسيو""	أوركسترا الدولة السيمفونية في اسطنبول	0
الإيطالي	الإيطالي	1.0
في تونغا	بالقرب من باغو باغو ونيو	0
عندما قلل السرعة إلى 160 كيلومتر في ساعة	درجة انخفاض ""البلاك بيوتي"".	0
