Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
to ensure that the image covers the whole screen	they won't be fully shown	0.0	ensure image covers whole screen	wo n't fully shown	0.0	0
at Bordentown	Bordentown	0.6666666666666666	Bordentown	Bordentown	1.0	1
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636	John Hancock Secretary Charles Thomson	President Congress John Hancock	0.4444444444444445	0
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0	along fence north end Colonist 's position	along fence north end Colonist 's position	1.0	1
polymorphic	polymorphic	1.0	polymorphic	polymorphic	1.0	1
negative	negative electric charge	0.5	negative	negative electric charge	0.5	0
neutrons and protons	The atom can be considered to be one of the fundamental building blocks of all matter	0.0	neutrons protons	atom considered one fundamental building blocks matter	0.0	0
bits	1	0.0	bits	1	0.0	0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch	0.2857142857142857	Felix Bloch ( working Stanford University ) Edward Purcell ( Harvard University )	Felix Bloch	0.3636363636363636	0
towards the end of the Middle Ages	towards the end of the Middle Ages western Europe began to develop their own style	0.5555555555555556	towards end Middle Ages	towards end Middle Ages western Europe began develop style	0.6153846153846153	0
the crusades	the crusades	1.0	crusades	crusades	1.0	1
Spanish	The War of Spanish Succession	0.4	Spanish	War Spanish Succession	0.5	0
the Thirty Years' War	the Thirty Years' War	1.0	Thirty Years ' War	Thirty Years ' War	1.0	1
class	cailaber	0.0	class	cailaber	0.0	0
transportation	transportation systems. Almost everyone complains about transportation systems	0.2222222222222222	transportation	transportation systems . Almost everyone complains transportation systems	0.25	0
germ-line cells can be passed on to children	the type of mutation	0.0	germ-line cells passed children	type mutation	0.0	0
strokes	strokes	1.0	strokes	strokes	1.0	1
the green	Eighteen holes are played during a regular round, with players usually starting on the first hole on the course and finishing on the eighteenth	0.0	green	Eighteen holes played regular round , players usually starting first hole course finishing eighteenth	0.0	0
to eliminate one or more of the possible hypotheses	to eliminate one or more of the possible hypotheses	1.0	eliminate one possible hypotheses	eliminate one possible hypotheses	1.0	1
thousands of years	thousands and thousands of years. However, the first true telescopes were made in Europe in the late 16th century	0.3	thousands years	thousands thousands years . However , first true telescopes made Europe late 16th century	0.2857142857142857	0
expressed variation	two pools of genetic variation: hidden and expressed	0.4	expressed variation	two pools genetic variation : hidden expressed	0.5	0
Mutation	Mutation	1.0	Mutation	Mutation	1.0	1
 through a distinctive and symbolic use of style	Subcultures bring together like-minded individuals who feel neglected by societal standards	0.0	distinctive symbolic use style	Subcultures bring together like-minded individuals feel neglected societal standards	0.0	0
tend to not do well in school	tend to not do well in school	1.0	tend well school	tend well school	1.0	1
cultural tourism	cultural tourism	1.0	cultural tourism	cultural tourism	1.0	1
recalling previous instances of entrepreneurial behavior and resulting successes	Such success stories lessened the fears of change, while creating positive inclinations toward change in the future	0.0833333333333333	recalling previous instances entrepreneurial behavior resulting successes	success stories lessened fears change , creating positive inclinations toward change future	0.0	0
the length of time between REM states	how often your brain attempts to lucidly dream per night	0.0	length time REM states	often brain attempts lucidly dream per night	0.0	0
the Early Middle Ages	Early Middle Ages	1.0	Early Middle Ages	Early Middle Ages	1.0	1
the Late Middle Ages	Late Middle Ages	1.0	Late Middle Ages	Late Middle Ages	1.0	1
visual system sensory organs	visual system sensory organs or eyes	0.8	visual system sensory organs	visual system sensory organs eyes	0.888888888888889	0
the requirements of the organism	visual system sensory organs or eyes	0.0	requirements organism	visual system sensory organs eyes	0.0	0
several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	several small tombs, several temples, and the great Sphinx	0.6666666666666666	several pyramids ( great pyramid largest ) , several small tombs , several temples , great Sphinx	several small tombs , several temples , great Sphinx	0.7368421052631579	0
to honor the Pharaoh Khufu	to honor the Pharaoh Khufu	1.0	honor Pharaoh Khufu	honor Pharaoh Khufu	1.0	1
Strabo	Strabo	1.0	Strabo	Strabo	1.0	1
stop this traffic	German navy, using mainly U-boats, was trying to stop this traffic	0.4285714285714285	stop traffic	German navy , using mainly U-boats , trying stop traffic	0.4	0
saddle	The saddle had not yet been invented	0.2857142857142857	saddle	saddle yet invented	0.5	0
on horseback	Assyrian cavalry fought on the bare backs of their horses	0.1818181818181818	horseback	Assyrian cavalry fought bare backs horses	0.0	0
in 1922	1922	0.6666666666666666	1922	1922	1.0	1
the discovery of his tomb	"King Tutankhamun, sometimes referred to as """"King Tut"""" or """"The Boy King"	0.0	discovery tomb	King Tutankhamun , sometimes referred `` '' King Tut '' '' `` '' Boy King	0.0	0
blind poet	composed two masterpieces of Greek literature	0.0	blind poet	composed two masterpieces Greek literature	0.0	0
Pythagoras	Homer	0.0	Pythagoras	Homer	0.0	0
in the open air	in the open air	1.0	open air	open air	1.0	1
the house	the house was not so important. Most of the life of the Hebrew family happened in the open air	0.125	house	house important . life Hebrew family happened open air	0.2222222222222222	0
Eskimo tribes	Erik the Red	0.0	Eskimo tribes	Erik Red	0.0	0
the rich men	the rich men	1.0	rich men	rich men	1.0	1
it cedes sovereignty over Taiwan to Japan	the Qing government signs the Treaty of Shimonoseki, by which it cedes sovereignty over Taiwan to Japan	0.6363636363636364	cedes sovereignty Taiwan Japan	Qing government signs Treaty Shimonoseki , cedes sovereignty Taiwan Japan	0.6153846153846153	0
the amount of Hydrogen (the H in pH) ions in the tested chemical	The pH level is indicated by the amount of Hydrogen (the H in pH) ions in the tested chemical	0.8	amount Hydrogen ( H pH ) ions tested chemical	pH level indicated amount Hydrogen ( H pH ) ions tested chemical	0.8235294117647058	0
electrons	protons that had their electrons stripped off them	0.2222222222222222	electrons	protons electrons stripped	0.5	0
medium sized cats	rabbits to antelopes and deer	0.0	medium sized cats	rabbits antelopes deer	0.0	0
small room	small room	1.0	small room	small room	1.0	1
sun	photosynthesis	0.0	sun	photosynthesis	0.0	0
carbon-dioxide	oxygen	0.0	carbon-dioxide	oxygen	0.0	0
veins	veins	1.0	veins	veins	1.0	1
capillaries	capillaries	1.0	capillaries	capillaries	1.0	1
Belgian Revolution	1830s Belgian Revolution	0.8	Belgian Revolution	1830s Belgian Revolution	0.8	0
23,764	23,764 square kilometres	0.5	23,764	23,764 square kilometres	0.5	0
religious ceremonies	legislation and official communications	0.0	religious ceremonies	legislation official communications	0.0	0
stimulated by the bright light	they must get rid of the extra energy they got from the light	0.1333333333333333	stimulated bright light	must get rid extra energy got light	0.2	0
Norway	Norwegian	0.0	Norway	Norwegian	0.0	0
Around the 15th century	Around the 15th century	1.0	Around 15th century	Around 15th century	1.0	1
the German alphabet	Germany	0.0	German alphabet	Germany	0.0	0
Hangeul	Hangeul	1.0	Hangeul	Hangeul	1.0	1
gas	gas	1.0	gas	gas	1.0	1
oil	informal economy	0.0	oil	informal economy	0.0	0
two hydrogen atoms and one oxygen atom	its chemical state remains the same	0.0	two hydrogen atoms one oxygen atom	chemical state remains	0.0	0
chemical state	its chemical state remains the same	0.5714285714285715	chemical state	chemical state remains	0.8	0
upside down	no one knows for certain who wrote it	0.0	upside	one knows certain wrote	0.0	0
national flower	an orchid hybrid	0.0	national flower	orchid hybrid	0.0	0
Britain	Britain	1.0	Britain	Britain	1.0	1
Operation Sealion	Operation Sealion	1.0	Operation Sealion	Operation Sealion	1.0	1
"Vichy"""" French"	French people	0.5	Vichy '' '' French	French people	0.5	0
the Americans and Free French forces	"Vichy"""" French"	0.2857142857142857	Americans Free French forces	Vichy '' '' French	0.3333333333333333	0
radar	radar	1.0	radar	radar	1.0	1
shooting	shooting range	0.6666666666666666	shooting	shooting range	0.6666666666666666	0
the British captured the Italian Tenth Army's Engineer-in-Chief	the British captured the Italian Tenth Army's Engineer-in-Chief, General Lastucci	0.8571428571428571	British captured Italian Tenth Army 's Engineer-in-Chief	British captured Italian Tenth Army 's Engineer-in-Chief , General Lastucci	0.8750000000000001	0
