Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
للتأكد من أن الصورة تغطي الشاشة بأكملها	الأعلى والأسفل و الجانبين	0.0	للتأكد الصورة تغطي الشاشة بأكملها	الأعلى والأسفل الجانبين	0.0	0
في بوردينتاون	بوردينتاون	0.6666666666666666	بوردينتاون	بوردينتاون	1.0	1
جون هانكوك وأمين السر تشارلز طومسون	لم يُكتب لها النجاة	0.0	جون هانكوك وأمين السر تشارلز طومسون	يُكتب النجاة	0.0	0
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	تمركز رجال ستارك في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	0.8571428571428571	مواقع بطول السياج الطرف الشمالي لمكان المستعمر	تمركز رجال ستارك مواقع بطول السياج الطرف الشمالي لمكان المستعمر	0.8235294117647058	0
متعددو الأشكال	أحاديو الشكل	0.0	متعددو الأشكال	أحاديو الشكل	0.0	0
سالبة	النيوترونات ليس لها شحنة، أما الإلكترونات فشحنتها سالبة	0.2222222222222222	سالبة	النيوترونات شحنة، الإلكترونات فشحنتها سالبة	0.33333333333333337	0
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0	النيوترونات والبروتونات	النيوترونات والبروتونات	1.0	1
بتّات	بتّات	1.0	بتّات	بتّات	1.0	1
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ	0.3333333333333333	فيليكس بلوخ ( جامعة ستانفورد ) وإدوارد بورسيل ( جامعة هارفارد )	فيليكس بلوخ	0.4	0
في نهاية العصور الوسطى	نهاية العصور الوسطى	0.8571428571428571	نهاية العصور الوسطى	نهاية العصور الوسطى	1.0	1
للحروب الصليبية	للحروب الصليبية	1.0	للحروب الصليبية	للحروب الصليبية	1.0	1
الإسبانية	الخلافة الإسبانية	0.6666666666666666	الإسبانية	الخلافة الإسبانية	0.6666666666666666	0
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0	حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0	1
الطبقة	كانت المهن مفتوحةً لجميع المتقدّمين الذكور	0.0	الطبقة	كانت المهن مفتوحةً لجميع المتقدّمين الذكور	0.0	0
المواصلات	أنظمة المواصلات	0.6666666666666666	المواصلات	أنظمة المواصلات	0.6666666666666666	0
يمكن فقط نقل الطفرات في خلايا الخط الجرثومي إلى الأطفال	خلايا الخط الإنتاشي	0.3076923076923076	يمكن فقط نقل الطفرات خلايا الخط الجرثومي الأطفال	خلايا الخط الإنتاشي	0.36363636363636365	0
الضربات	اللاعب الذي يقوم بأقل عدد من الضربات، أو التلويحات بالمضرب، لإكمال الدورة يفوز	0.0	الضربات	اللاعب يقوم بأقل عدد الضربات، التلويحات بالمضرب، لإكمال الدورة يفوز	0.0	0
الخضراء	ويُقصّ العشب المحيط بالحفرة	0.0	الخضراء	ويُقصّ العشب المحيط بالحفرة	0.0	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.8571428571428571	تفنيد واحدة الفرضيات المحتملة	لتفنيد واحدة الفرضيات المحتملة	0.75	0
آلاف وآلاف السنين	آلاف وآلاف السنين	1.0	آلاف وآلاف السنين	آلاف وآلاف السنين	1.0	1
الاختلافات التعبيريّةً	التنوعات الچينية	0.0	الاختلافات التعبيريّةً	التنوعات الچينية	0.0	0
 الطفرة 	الطفرة	1.0	الطفرة	الطفرة	1.0	1
من خلال استخدام مختلف ورمزي للأسلوب	يشير أعضاء الثقافات الفرعية إلى عضويتهم من خلال استخدام مختلف ورمزي للأسلوب الذي يتضمن الملابس، والتكلف، والاصطلاح	0.5217391304347826	خلال استخدام مختلف ورمزي للأسلوب	يشير أعضاء الثقافات الفرعية عضويتهم خلال استخدام مختلف ورمزي للأسلوب يتضمن الملابس، والتكلف، والاصطلاح	0.5263157894736842	0
لا يحققون نتائج جيدة في المدرسة	يميل الأطفال الذين ينتمون إلى أقلية عرقية يخضع أفرادها للتنميط بأنهم لا يحققون نتائج جيدة في المدرسة	0.5217391304347826	يحققون نتائج جيدة المدرسة	يميل الأطفال ينتمون أقلية عرقية يخضع أفرادها للتنميط بأنهم يحققون نتائج جيدة المدرسة	0.47058823529411764	0
السياحة الثقافية	الترفيهية	0.0	السياحة الثقافية	الترفيهية	0.0	0
استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0.0	استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0.0	0
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	يتوقّف التأثير على معدّل تكرار محاولة مخّك للوصول إلى الحُلم الصافِ كل ليلة	0.0	طول المدة الزمنية تكون حالات حركة العين السريعة	يتوقّف التأثير معدّل تكرار محاولة مخّك للوصول الحُلم الصافِ ليلة	0.0	0
العصور الوسطى المبكرة	بالعصور الوسطى العليا	0.3333333333333333	العصور الوسطى المبكرة	بالعصور الوسطى العليا	0.3333333333333333	0
 أواخر العصور الوسطى	أواخر العصور الوسطى	1.0	أواخر العصور الوسطى	أواخر العصور الوسطى	1.0	1
على أعضاء الحس في جهاز الرؤية	أعضاء الحس في جهاز الرؤية أو العينين	0.7692307692307692	أعضاء الحس جهاز الرؤية	أعضاء الحس جهاز الرؤية العينين	0.888888888888889	0
احتياجات الكائن الحي	تتراوح درجة تعقيد تركيب العين حسب احتياجات الكائن الحي	0.5	احتياجات الكائن الحي	تتراوح درجة تعقيد تركيب العين احتياجات الكائن الحي	0.5454545454545454	0
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	ومقابر صغيرة ومعابد وأبو الهول	0.6666666666666666	عدة أهرامات ( أكبرها الهرم الأكبر ) ومقابر صغيرة ومعابد وأبو الهول	ومقابر صغيرة ومعابد وأبو الهول	0.6666666666666666	0
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	0
سترابو	هيروستراتوس	0.0	سترابو	هيروستراتوس	0.0	0
 التصدي لهذا الغزو 	استخدام الغواصات	0.0	التصدي لهذا الغزو	استخدام الغواصات	0.0	0
السرج	لم يكن السرج قد اخترع بعد، لذلك قاتل الفرسان الآشوريون على ظهور خيولهم العارية	0.1333333333333333	السرج	يكن السرج اخترع بعد، لذلك قاتل الفرسان الآشوريون ظهور خيولهم العارية	0.16666666666666669	0
على ظهور الخيل	على ظهور الخيل	1.0	ظهور الخيل	ظهور الخيل	1.0	1
في عام 1922	1922	0.5	عام 1922	1922	0.6666666666666666	0
اكتشاف قبره	القبر لم يُعبث به تقريباً	0.0	اكتشاف قبره	القبر يُعبث تقريباً	0.0	0
 فقد بصره	بصره	0.6666666666666666	فقد بصره	بصره	0.6666666666666666	0
فيثاغورس	السياسيين والعلماء والفنانين	0.0	فيثاغورس	السياسيين والعلماء والفنانين	0.0	0
في الهواء الطلق	الهواء الطلق	0.8	الهواء الطلق	الهواء الطلق	1.0	1
للمنزل	للمنزل	1.0	للمنزل	للمنزل	1.0	1
