Reference	Predection	F1_score
للتأكد من أن الصورة تغطي الشاشة بأكملها	للتأكد من أن الصورة تغطي الشاشة بأكملها	1.0
في بوردينتاون	بوردينتاون	0.6666666666666666
جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	0.9411764705882353
متعددو الأشكال	أحاديو الشكل	0
سالبة	للبروتونات شحنة كهربية موجبة	0
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0
بتّات	بتّات	1.0
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل	0.8235294117647058
في نهاية العصور الوسطى	نهاية العصور الوسطى، بدأت أوروبا الغربية في تطوير أسلوبها الخاص	0.4285714285714285
للحروب الصليبية	لربط الملابس	0
الإسبانية	حرب الخلافة الإسبانية	0.5
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0
الطبقة	المتقدّمين الذكور	0
المواصلات	أنظمة المواصلات	0.6666666666666666
يمكن فقط نقل الطفرات في خلايا الخط الجرثومي إلى الأطفال	قطعة المادّة الوراثيّة المتأثّرة	0
الضربات	كرات	0
الخضراء	المحيط بالحفرة	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.8571428571428571
آلاف وآلاف السنين	آلاف وآلاف السنين	1.0
الاختلافات التعبيريّةً	الچينية	0
 الطفرة 	الفصل وإعادة التركيب	0
من خلال استخدام مختلف ورمزي للأسلوب	العمر والعِرق والطبقة والموقع و/أو جنس الأعضاء	0
لا يحققون نتائج جيدة في المدرسة	الأداء غير الجيد في المدرسة	0.3636363636363636
السياحة الثقافية	السياحة الترفيهية	0.5
استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	1.0
العصور الوسطى المبكرة	بالعصور الوسطى المبكرة	0.6666666666666666
 أواخر العصور الوسطى	أواخر العصور الوسطى	1.0
على أعضاء الحس في جهاز الرؤية	أعضاء الحس في جهاز الرؤية أو العينين	0.7692307692307692
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	الهرم الأكبر	0.33333333333333337
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666
سترابو	سترابو	1.0
 التصدي لهذا الغزو 	استخدام الغواصات	0
السرج	اختراع العجلات ذات العوارض	0
على ظهور الخيل	على ظهور خيولهم العارية	0.5714285714285715
في عام 1922	1922	0.5
اكتشاف قبره	اكتشاف قبره	1.0
 فقد بصره	فقد بصره	1.0
فيثاغورس	هوميروس	0
في الهواء الطلق	الهواء الطلق	0.8
للمنزل	للمنزل	1.0
قبائل الإسكيمو	قبائل الإسكيمو	1.0
الرجال الأغنياء	الفقراء والنساء يأكلون طعامهم وهم جالسون على المقاعد، كان الرجال الأغنياء	0.3076923076923077
تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان	تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان التي حكمت الجزيرة حتى عام 1945	0.7499999999999999
من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية	رقم الأس الهيدروجيني	0
الإلكترونات	الإلكترونات	1.0
القطط متوسطة الحجم	القطط متوسطة الحجم	1.0
غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0
الشمس	التمثيل الضوئي	0
ثاني أكسيد الكربون	ثاني أكسيد الكربون	1.0
الأوردة	العضو الرئيسي	0
الشعيرات الدموية	الشعيرات الدموية	1.0
الثورة البلجيكية	الثورة البلجيكية	1.0
23،764	23،764 كيلومتر مربع	0.5
المراسم الدينيّة	المراسم الدينيّة	1.0
استخدام ضوء ساطع في تحفيز الذرات	ضوء ساطع	0.5
النرويج	نرويجي	0
حوالي القرن الخامس عشر	القرن الخامس عشر	0.8571428571428571
الأبجدية الألمانية	ألمانيا	0
 الهانجول 	الهانجول	1.0
الغاز	الغاز	1.0
النّفط	الخدمات	0
ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0
حالته الكيميائية	حالته الكيميائية	1.0
مقلوباً	غير معروف	0
هجين أوركيد	هجين أوركيد	1.0
بريطانيا	بريطانيا	1.0
عملية أسد البحر 	عملية أسد البحر	1.0
يحكم فرنسا ""فيشي	فيشي	0.5
الأمريكيون والقوات الفرنسية الحرة	غزا الحلفاء جنوب فرنسا	0
الرادار	عندما بدأ الرادار في التطور وأصبح أدق، اضطرت الغواصات إلى الغوص تحت الماء لتفادي كشفها	0.125
الرّماية	الرّماية	1.0
