Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
to ensure that the image covers the whole screen	if the video had subtitles too close to the bottom, they won't be fully shown	0.1	ensure image covers whole screen	video subtitles close bottom , wo n't fully shown	0.0	0
at Bordentown	Bordentown	0.6666666666666666	Bordentown	Bordentown	1.0	1
John Hancock and the Secretary Charles Thomson	John Hancock	0.5	John Hancock Secretary Charles Thomson	John Hancock	0.5714285714285715	0
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0	along fence north end Colonist 's position	along fence north end Colonist 's position	1.0	1
polymorphic	polymorphic	1.0	polymorphic	polymorphic	1.0	1
neutrons and protons	neutrons and protons. Protons have a positive electric charge while neutrons have no charge	0.375	neutrons protons	neutrons protons . Protons positive electric charge neutrons charge	0.4	0
bits	bits	1.0	bits	bits	1.0	1
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch	0.2857142857142857	Felix Bloch ( working Stanford University ) Edward Purcell ( Harvard University )	Felix Bloch	0.3636363636363636	0
towards the end of the Middle Ages	towards the end of the Middle Ages western Europe began to develop their own style	0.5555555555555556	towards end Middle Ages	towards end Middle Ages western Europe began develop style	0.6153846153846153	0
the crusades	buttons to fasten clothing	0.0	crusades	buttons fasten clothing	0.0	0
the Thirty Years' War	the Thirty Years' War	1.0	Thirty Years ' War	Thirty Years ' War	1.0	1
class	cailaber	0.0	class	cailaber	0.0	0
strokes	strokes	1.0	strokes	strokes	1.0	1
to eliminate one or more of the possible hypotheses	to figure out the way the world works through the scientific method	0.1176470588235294	eliminate one possible hypotheses	figure way world works scientific method	0.0	0
thousands of years	telescopes	0.0	thousands years	telescopes	0.0	0
expressed variation	Mutation	0.0	expressed variation	Mutation	0.0	0
Mutation	Mutation	1.0	Mutation	Mutation	1.0	1
 through a distinctive and symbolic use of style	Subcultures bring together like-minded individuals who feel neglected by societal standards and allow them to develop a sense of identity	0.1538461538461538	distinctive symbolic use style	Subcultures bring together like-minded individuals feel neglected societal standards allow develop sense identity	0.0	0
tend to not do well in school	tend to not do well in school	1.0	tend well school	tend well school	1.0	1
the length of time between REM states	lucid dreams expanding the length of time between REM states	0.8	length time REM states	lucid dreams expanding length time REM states	0.7272727272727273	0
the Late Middle Ages	Late Middle Ages	1.0	Late Middle Ages	Late Middle Ages	1.0	1
visual system sensory organs	visual system sensory organs or eyes	0.8	visual system sensory organs	visual system sensory organs eyes	0.888888888888889	0
the requirements of the organism	visual system sensory organs or eyes. There are many different constructions of eyes, ranging in complexity depending on the requirements of the organism	0.25	requirements organism	visual system sensory organs eyes . many different constructions eyes , ranging complexity depending requirements organism	0.25	0
several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	1.0	several pyramids ( great pyramid largest ) , several small tombs , several temples , great Sphinx	several pyramids ( great pyramid largest ) , several small tombs , several temples , great Sphinx	1.0	1
to honor the Pharaoh Khufu	to honor the Pharaoh Khufu	1.0	honor Pharaoh Khufu	honor Pharaoh Khufu	1.0	1
Strabo	Strabo	1.0	Strabo	Strabo	1.0	1
stop this traffic	the German navy, using mainly U-boats, was trying to stop this traffic	0.4285714285714285	stop traffic	German navy , using mainly U-boats , trying stop traffic	0.4	0
saddle	The invention of spoke wheels	0.0	saddle	invention spoke wheels	0.0	0
on horseback	fought on the bare backs of their horses	0.2222222222222222	horseback	fought bare backs horses	0.0	0
in 1922	1922	0.6666666666666666	1922	1922	1.0	1
the discovery of his tomb	King Tutankhamun	0.0	discovery tomb	King Tutankhamun	0.0	0
Pythagoras	Homer	0.0	Pythagoras	Homer	0.0	0
in the open air	in the open air	1.0	open air	open air	1.0	1
the house	Most of the life of the Hebrew family happened in the open air	0.0	house	life Hebrew family happened open air	0.0	0
Eskimo tribes	Erik the Red	0.0	Eskimo tribes	Erik Red	0.0	0
the rich men	poor people	0.0	rich men	poor people	0.0	0
the amount of Hydrogen (the H in pH) ions in the tested chemical	Hydrogen (the H in pH) ions in the tested chemical	0.888888888888889	amount Hydrogen ( H pH ) ions tested chemical	Hydrogen ( H pH ) ions tested chemical	0.923076923076923	0
electrons	electrons	1.0	electrons	electrons	1.0	1
medium sized cats	cats	0.5	medium sized cats	cats	0.5	0
small room	small room	1.0	small room	small room	1.0	1
sun	sun	1.0	sun	sun	1.0	1
carbon-dioxide	oxygen	0.0	carbon-dioxide	oxygen	0.0	0
veins	veins	1.0	veins	veins	1.0	1
capillaries	capillaries	1.0	capillaries	capillaries	1.0	1
Belgian Revolution	after the 1830s Belgian Revolution	0.6666666666666666	Belgian Revolution	1830s Belgian Revolution	0.8	0
23,764	23,764 square kilometres	0.5	23,764	23,764 square kilometres	0.5	0
religious ceremonies	religious ceremonies	1.0	religious ceremonies	religious ceremonies	1.0	1
stimulated by the bright light	they must get rid of the extra energy they got from the light	0.1333333333333333	stimulated bright light	must get rid extra energy got light	0.2	0
Norway	Norwegian	0.0	Norway	Norwegian	0.0	0
Around the 15th century	Around the 15th century	1.0	Around 15th century	Around 15th century	1.0	1
the German alphabet	northern Estonia was under great cultural influence of Germany	0.0	German alphabet	northern Estonia great cultural influence Germany	0.0	0
Hangeul	Hangeul	1.0	Hangeul	Hangeul	1.0	1
gas	gas	1.0	gas	gas	1.0	1
oil	agriculture	0.0	oil	agriculture	0.0	0
two hydrogen atoms and one oxygen atom	It has the same molecular structure	0.0	two hydrogen atoms one oxygen atom	molecular structure	0.0	0
chemical state	its chemical state remains the same	0.5714285714285715	chemical state	chemical state remains	0.8	0
upside down	no one knows for certain who wrote it	0.0	upside	one knows certain wrote	0.0	0
national flower	Vanda Miss Joaquim, an orchid hybrid	0.0	national flower	Vanda Miss Joaquim , orchid hybrid	0.0	0
Britain	Britain	1.0	Britain	Britain	1.0	1
Operation Sealion	Operation Sealion	1.0	Operation Sealion	Operation Sealion	1.0	1
"Vichy"""" French"	French people	0.5	Vichy '' '' French	French people	0.5	0
the Americans and Free French forces	"Operation Dragoon"""". In just two weeks the Americans and Free French forces had liberated southern France and were turning towards Germany."	0.4	Americans Free French forces	Operation Dragoon '' '' . two weeks Americans Free French forces liberated southern France turning towards Germany .	0.4444444444444445	0
radar	radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen	0.1052631578947368	radar	radar began developing becoming accurate submarines forced go water avoid seen	0.16666666666666669	0
shooting	shooting range	0.6666666666666666	shooting	shooting range	0.6666666666666666	0
the British captured the Italian Tenth Army's Engineer-in-Chief	General Lastucci	0.0	British captured Italian Tenth Army 's Engineer-in-Chief	General Lastucci	0.0	0
in Tobruk	Marshal Italo Balbo, the Governor-General of Libya and apparent heir to Mussolini, was killed by friendly fire while landing in Tobruk	0.1818181818181818	Tobruk	Marshal Italo Balbo , Governor-General Libya apparent heir Mussolini , killed friendly fire landing Tobruk	0.14285714285714288	0
Jai Shankar Choudhary	Lakkha Singh	0.0	Jai Shankar Choudhary	Lakkha Singh	0.0	0
Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou	"Turkish dance group Fire of Anatolia performed the show """"Troy""""."	0.0909090909090909	Sezen Aksu performed Italian tenor Alessandro Safina Greek singer Haris Alexiou	Turkish dance group Fire Anatolia performed show `` '' Troy '' '' .	0.10526315789473685	0
Italian	Italian	1.0	Italian	Italian	1.0	1
in Tonga	Pago Pago and Niue	0.0	Tonga	Pago Pago Niue	0.0	0
when he slowed down to 160km/h	when he slowed down to 160km/h	1.0	slowed 160km/h	slowed 160km/h	1.0	1
about 65 km (40 miles) south of Butte	about 65 km (40 miles) south	0.8571428571428571	65 km ( 40 miles ) south Butte	65 km ( 40 miles ) south	0.9090909090909091	0
Abu Ghraib prison has been set alight	prison has been set alight	0.8333333333333333	Abu Ghraib prison set alight	prison set alight	0.7499999999999999	0
prisoner abuse was discovered	The jail became notorious after prisoner abuse was discovered there after US forces took over	0.4444444444444445	prisoner abuse discovered	jail became notorious prisoner abuse discovered US forces took	0.5	0
protesters	protesters from the south	0.5	protesters	protesters south	0.6666666666666666	0
Bishkek residents	lawlessness	0.0	Bishkek residents	lawlessness	0.0	0
2013	Shark Tank episode where the show panel declined funding the startup	0.0	2013	Shark Tank episode show panel declined funding startup	0.0	0
when his doorbell wasn't audible from his shop in his garage	Ring also settled a lawsuit	0.0	doorbell n't audible shop garage	Ring also settled lawsuit	0.0	0
books	recommendations for books that children should look for when they went to their library	0.1333333333333333	books	recommendations books children look went library	0.2857142857142857	0
the funding crunch and a shift in the philosophy of educational television programming	funding crunch and a shift in the philosophy of educational television programming	1.0	funding crunch shift philosophy educational television programming	funding crunch shift philosophy educational television programming	1.0	1
four	four	1.0	four	four	1.0	1
