Annotator,link,question_number,Arabic passage,Arabic Question,Annotated Passage,Belebele problem?,,,,
Anonymous,https://en.wikibooks.org/wiki/All_About_Converting_From_Several_Video_Formats_To_DVD,1,"من المشاكل الشائعة عند محاولة تحويل فيلم إلى تنسيق DVD هو المسح الضوئي الزائد. تصنع معظم أجهزة التلفاز بطريقة ترضي عامة الجمهور. لذلك السبب، تجد كل شيء تراه على شاشة التلفاز مقطوع الحواف، من الأعلى والأسفل و الجانبين. تم عمل ذلك للتأكد من أن الصورة تغطي الشاشة بأكملها. هذا يُسمى بالتجزئة العالية. لسوء الحظ، من المرجح أن يتم قطع حدود قرص DVD عند إنشاؤه، وإذا كان الفيديو يحتوي على ترجمات قريبة جداً من الجزء السفلي، فلن يتم عرضها بالكامل.",لماذا تُقطع حواف الصور على التلفاز؟,"من المشاكل الشائعة عند محاولة تحويل فيلم إلى تنسيق DVD هو المسح الضوئي الزائد. تصنع معظم أجهزة التلفاز بطريقة ترضي عامة الجمهور. لذلك السبب، تجد كل شيء تراه على شاشة التلفاز مقطوع الحواف، من الأعلى والأسفل و الجانبين. تم عمل ذلك $!للتأكد من أن الصورة تغطي الشاشة بأكملها!$. هذا يُسمى بالتجزئة العالية. لسوء الحظ، من المرجح أن يتم قطع حدود قرص DVD عند إنشاؤه، وإذا كان الفيديو يحتوي على ترجمات قريبة جداً من الجزء السفلي، فلن يتم عرضها بالكامل.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/American_Revolution/The_Battles_of_Trenton_and_Princeton,2,"اعتمدت الخطة الأمريكية على شن هجمات منظمة من ثلاثة اتجاهات مختلفة. يمكن للجنرال جون كادوالادر شن هجوم لتشتيت الانتباه ضد الحامية البريطانية في بوردينتاون لمنع أي تعزيزات. سيأخذ الجنرال جيمس أوينج 700 من عناصر المليشيا عبر النهر في عبارة ترينتون، ويستولي على الجسر فوق خليج أسونبينك، وسيمنع أي قوات معادية من الهروب. كانت قوّة الهجوم الرئيسيّة، المكوّنة من 2,400 رجلاً، ستعبر النهر الواقع على بعد تسعة أميال شمال ترينتون، ثم تنقسم إلى مجموعتين، الأولى بقيادة غرين والثانية بقيادة سوليفان، من أجل إطلاق هجوم قبل الفجر.",أين كانت الحامية البريطانية موجودة؟,"اعتمدت الخطة الأمريكية على شن هجمات منظمة من ثلاثة اتجاهات مختلفة . يمكن للجنرال جون كادوالادر شن هجوم لتشتيت الانتباه ضد الحامية البريطانية $!في بوردينتاون!$ لمنع أي تعزيزات . سيأخذ الجنرال جيمس أوينج 700 من عناصر المليشيا عبر النهر في عبارة ترينتون، ويستولي على الجسر فوق خليج أسونبينك، وسيمنع أي قوات معادية من الهروب . كانت قوّة الهجوم الرئيسيّة، المكوّنة من 2,400 رجلاً، ستعبر النهر الواقع على بعد تسعة أميال شمال ترينتون، ثم تنقسم إلى مجموعتين، الأولى بقيادة غرين والثانية بقيادة سوليفان، من أجل إطلاق هجوم قبل الفجر .",No,,,,
Anonymous,https://en.wikibooks.org/wiki/American_Revolution/The_Declaration_of_Independence,1,"""بعد تبنيه من قبل الكونغرس في 4 يوليو، أُرسلت مسودةٌ مكتوبةٌ بخط اليد وقعها رئيس الكونغرس جون هانكوك وأمين السر تشارلز طومسون على بعد البعض من الأبنية إلى مطبعة جون دونلاب. وخلال الليل تم عمل ما بين 150 و200 نسخة، تعرف الآن باسم """"نشرات دنلاب النقدية"""". كانت أول قراءة عامة للوثيقة بواسطة جون نيكسون في باحة قاعة الاستقلال في الثامن من تموز. أُرسلت واحدة منهم إلى جورج واشنطن في السادس من يوليو، وقد قرأها على قوّاته في نيويورك في التاسع من يوليو. ووصلت نسخة منها إلى لندن في العاشر من أغسطس. تمثل مطويات دنلاب الخمس والعشرون أقدم النسخ الباقية من مستند إعلان الاستقلال الأمريكي، ولكن النسخة الأصلية المكتوبة بخط اليد لم يُكتب لها النجاة.""",توقيع من ظهر على المسودة المكتوبة بخط اليد؟,"""بعد تبنيه من قبل الكونغرس في 4 يوليو، أُرسلت مسودةٌ مكتوبةٌ بخط اليد وقعها رئيس الكونغرس $!جون هانكوك وأمين السر تشارلز طومسون!$ على بعد البعض من الأبنية إلى مطبعة جون دونلاب. وخلال الليل تم عمل ما بين 150 و200 نسخة، تعرف الآن باسم """"نشرات دنلاب النقدية"""". كانت أول قراءة عامة للوثيقة بواسطة جون نيكسون في باحة قاعة الاستقلال في الثامن من تموز. أُرسلت واحدة منهم إلى جورج واشنطن في السادس من يوليو، وقد قرأها على قوّاته في نيويورك في التاسع من يوليو. ووصلت نسخة منها إلى لندن في العاشر من أغسطس. تمثل مطويات دنلاب الخمس والعشرون أقدم النسخ الباقية من مستند إعلان الاستقلال الأمريكي، ولكن النسخة الأصلية المكتوبة بخط اليد لم يُكتب لها النجاة.""",No,,,,
Anonymous,https://en.wikibooks.org/wiki/American_Revolution/Ticonderoga_and_Bunker_Hill,1,"وطالب المستعمرون، الذين شاهدوا هذا النشاط، بتعزيزات. ضمّت تعزيزات المواقع الأمامية كتيبتي نيوهامبشير الأولى والثالثة في صفوفهما 200 من الرجال يقودهم العقيد چون ستارك والعقيد چيمس ريد (والذين أصبحا بعدها جنرالين). تمركز رجال ستارك في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر. عندما فتح المدّ المنخفض فجوة على طول النهر الغامض على طول الجانب الشمالي الشرقي من شبه الجزيرة، مدّوا السياج سريعاً بجدار حجري قصير إلى الشمال ينتهي عند حافة المياه على شاطئ صغير. وضع جريدلي أو ستارك وتدًا على بعد حوالي 100 قدم (30 مترًا) أمام السياج وأمر ألا يطلق أحد النار حتى يعبره ضباط الجيش.",أين كان موقع قوات العقيد ستارك؟,"وطالب المستعمرون، الذين شاهدوا هذا النشاط، بتعزيزات. ضمّت تعزيزات المواقع الأمامية كتيبتي نيوهامبشير الأولى والثالثة في صفوفهما 200 من الرجال يقودهم العقيد چون ستارك والعقيد چيمس ريد (والذين أصبحا بعدها جنرالين). تمركز رجال ستارك $!في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر!$. عندما فتح المدّ المنخفض فجوة على طول النهر الغامض على طول الجانب الشمالي الشرقي من شبه الجزيرة، مدّوا السياج سريعاً بجدار حجري قصير إلى الشمال ينتهي عند حافة المياه على شاطئ صغير. وضع جريدلي أو ستارك وتدًا على بعد حوالي 100 قدم (30 مترًا) أمام السياج وأمر ألا يطلق أحد النار حتى يعبره ضباط الجيش.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Animal_Behavior/Population_Genetics,1,"""السكان هو مجموعة الكائنات الحية من نوع معين داخل منطقة جغرافية معينة. عندما يكون جميع الأفراد في فئة سكانية متطابقين فيما يتعلق بسمة ظاهرية معينة، فيطلق على هؤلاء الأفراد مسمى """"أحاديو الشكل"""". عندما يُظهر الأفراد بضعة متغيرات لسمة محددة، فهُم متعددو الأشكال.""",أي مصطلح يصف الأفراد الذين يُظهرون متغيرات لسمة ظاهرية معينة؟,"`` السكان هو مجموعة الكائنات الحية من نوع معين داخل منطقة جغرافية معينة . عندما يكون جميع الأفراد في فئة سكانية متطابقين فيما يتعلق بسمة ظاهرية معينة، فيطلق على هؤلاء الأفراد مسمى `` ''  أحاديو الشكل '' '' . عندما يُظهر الأفراد بضعة متغيرات لسمة محددة، فهُم $!متعددو الأشكال!$ .",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Basics,1,"يُمكن اعتبار الذرة واحدة من وحدات البناء الأساسية لكل المواد. إنه كيان معقد للغاية يتكون، وفقًا لنموذج بور البسيط، من نواة مركزية تدور حولها الإلكترونات، تشبه إلى حد ما الكواكب التي تدور حول الشمس - انظر الشكل 1.1. تتكون النواة من جسيمين - النيوترونات والبروتونات. للبروتونات شحنة كهربية موجبة، بينما النيوترونات ليس لها شحنة، أما الإلكترونات فشحنتها سالبة.",ما هو نوع شحنة الجسيمات التي تدور حول النواة؟,"يُمكن اعتبار الذرة واحدة من وحدات البناء الأساسية لكل المواد. إنه كيان معقد للغاية يتكون، وفقًا لنموذج بور البسيط، من نواة مركزية تدور حولها الإلكترونات، تشبه إلى حد ما الكواكب التي تدور حول الشمس - انظر الشكل 1.1. تتكون النواة من جسيمين - النيوترونات والبروتونات. للبروتونات شحنة كهربية موجبة بينما النيوترونات ليس لها شحنة، أما الإلكترونات فشحنتها $!سالبة!$.",BB,,,,
Anonymous,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Basics,2,"يُمكن اعتبار الذرة واحدة من وحدات البناء الأساسية لكل المواد. إنه كيان معقد للغاية يتكون، وفقًا لنموذج بور البسيط، من نواة مركزية تدور حولها الإلكترونات، تشبه إلى حد ما الكواكب التي تدور حول الشمس - انظر الشكل 1.1. تتكون النواة من جسيمين - النيوترونات والبروتونات. للبروتونات شحنة كهربية موجبة، بينما النيوترونات ليس لها شحنة، أما الإلكترونات فشحنتها سالبة.",من أي جسيمات تتكون النواة؟,"يُمكن اعتبار الذرة واحدة من وحدات البناء الأساسية لكل المواد. إنه كيان معقد للغاية يتكون، وفقًا لنموذج بور البسيط، من نواة مركزية تدور حولها الإلكترونات، تشبه إلى حد ما الكواكب التي تدور حول الشمس - انظر الشكل 1.1. تتكون النواة من جسيمين - $!النيوترونات والبروتونات!$. للبروتونات شحنة كهربية موجبة، بينما النيوترونات ليس لها شحنة، أما الإلكترونات فشحنتها سالبة.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Basic_Physics_of_Digital_Radiography/The_Computer,2,"تعتمد جميعُ أجهزة الحاسوبِ المستخدمة اليوم افتراضياً على معالجة المعلومات المشفرة في شكل أرقامٍ ثُنائية. يمكن أن تكون قيمة الرقم الثنائي قيمة واحدة فقط من قيمتين، وهما 0 أو 1، ويُشار إلى هذه الأرقام على أنها أرقام ثنائية - أو بتّات، إذا استخدمنا لغة الحاسوب الاصطلاحية.",بماذا يُشار أيضاً إلى الأرقام الثنائية؟,"تعتمد جميعُ أجهزة الحاسوبِ المستخدمة اليوم افتراضياً على معالجة المعلومات المشفرة في شكل أرقامٍ ثُنائية. يمكن أن تكون قيمة الرقم الثنائي قيمة واحدة فقط من قيمتين، وهما 0 أو 1، ويُشار إلى هذه الأرقام على أنها أرقام ثنائية - أو $!بتّات!$، إذا استخدمنا لغة الحاسوب الاصطلاحية.",No,,,,
Anonymous,https://en.wikibooks.org/wiki/Castles_of_England/The_Development_of_the_Castle,1,"ألهمت القلعة التقليدية من العصور الوسطى الخيال منذ فترة طويلة، مكونةً صوراً للمبارزات، والولائم، وفروسية الملك آرثر. وحتى لو كنت واقفاً وسط آثار عمرها ألف سنة، فمن السهل أن يحضر في ذهنك أصوات وروائح المعارك التي مرت منذ فترةٍ طويلةٍ، وأن تسمع تقريباً صوت الثرثرة على القلنسوة على الحصى وأن نشم رائحة الخوف الذي يتصاعد من حفر الزنزانة. لكن هل مخيلتنا مبنية على الواقع؟ لماذا بُنِيَت القلاع في الأصل؟ كيف تم تصميمها وبناؤها؟",ما الذي ليس مذكوراً في الفقرة كشيء قد يربطه المرء مع قلاع العصور الوسطى؟,X,No,,,,
Anonymous,https://en.wikibooks.org/wiki/Cognitive_Psychology_and_Cognitive_Neuroscience/Behavioural_and_Neuroscience_Methods,1,"""يعتمد التصوير بالرنين المغناطيسي على ظاهرة فيزيائية تسمى الرنين المغناطيسي النووي (NMR)، والتي اكتشفت في ثلاثينيات القرن الماضي عن طريق فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد) في هذا الرنين، تجعل المجالات المغناطيسيّة والموجات الراديويّة الذرّات تبعث إشارات راديو دقيقة. في عام 1970، اكتشف رايموند داماديان، وهو طبيب وعالم أبحاث، الأساس الذي بُني عليه استخدام التصوير بالرنين المغناطيسي كأداة للتشخيص الطبّي. بعد أريع سنوات، تم منح براءة اختراع، والتي كانت أول براءة اختراع في العالم يتم منحها في مجال التصوير بالرنين المغناطيسي. في عام 1977 استكمل الدكتور داماديان إنشاء أول ماسح ضوئي للتصوير بالرنين المغناطيسي """"لكامل الجسم""""، والذي يسمى اليوم ب""""الذي لا يقهر"""".""",من اكتشف الرنين المغناطيسي النووي؟,"""يعتمد التصوير بالرنين المغناطيسي على ظاهرة فيزيائية تسمى الرنين المغناطيسي النووي (NMR)، والتي اكتشفت في ثلاثينيات القرن الماضي عن طريق $!فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)!$ في هذا الرنين، تجعل المجالات المغناطيسيّة والموجات الراديويّة الذرّات تبعث إشارات راديو دقيقة. في عام 1970، اكتشف رايموند داماديان، وهو طبيب وعالم أبحاث، الأساس الذي بُني عليه استخدام التصوير بالرنين المغناطيسي كأداة للتشخيص الطبّي. بعد أريع سنوات، تم منح براءة اختراع، والتي كانت أول براءة اختراع في العالم يتم منحها في مجال التصوير بالرنين المغناطيسي. في عام 1977 استكمل الدكتور داماديان إنشاء أول ماسح ضوئي للتصوير بالرنين المغناطيسي """"لكامل الجسم""""، والذي يسمى اليوم ب""""الذي لا يقهر"""".""",No,,,,
