Reference	Predection	F1_score
to ensure that the image covers the whole screen	to ensure that the image covers the whole screen	1.0
at Bordentown	Bordentown	0.6666666666666666
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0
polymorphic	polymorphic	1.0
neutrons and protons	neutrons and protons	1.0
bits	bits	1.0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch (working at Stanford University) and Edward Purcell	0.8571428571428571
towards the end of the Middle Ages	end of the Middle Ages	0.888888888888889
the crusades	the crusades	1.0
the Thirty Years' War	the Thirty Years' War	1.0
class	class	1.0
strokes	strokes	1.0
to eliminate one or more of the possible hypotheses	eliminate one or more of the possible hypotheses	0.9333333333333333
thousands of years	thousands and thousands of years	0.7499999999999999
expressed variation	selection removes it from the pool of expressed variation	0.4
Mutation	Mutation	1.0
 through a distinctive and symbolic use of style	through a distinctive and symbolic use of style	1.0
tend to not do well in school	tend to not do well in school	1.0
the length of time between REM states	how often your brain attempts to lucidly dream per night	0
the Late Middle Ages	Late Middle Ages	1.0
visual system sensory organs	visual system sensory organs or eyes	0.8
the requirements of the organism	visual system sensory organs or eyes	0
several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	several small tombs, several temples, and the great Sphinx	0.6666666666666666
to honor the Pharaoh Khufu	to honor the Pharaoh Khufu	1.0
Strabo	Strabo	1.0
stop this traffic	stop this traffic	1.0
saddle	The saddle	1.0
on horseback	on the bare backs of their horses	0.25
in 1922	1922	0.6666666666666666
the discovery of his tomb	the discovery of his tomb	1.0
Pythagoras	Pythagoras	1.0
in the open air	in the open air	1.0
the house	the house	1.0
Eskimo tribes	Eskimo tribes	1.0
the rich men	the rich men	1.0
the amount of Hydrogen (the H in pH) ions in the tested chemical	indicated by the amount of Hydrogen (the H in pH) ions in the tested chemical	0.9090909090909091
electrons	electrons	1.0
medium sized cats	cats that eat medium sized prey ranging from rabbits to antelopes and deer. Finally, there are many small cats	0.2727272727272727
small room	small room	1.0
sun	photosynthesis	0
carbon-dioxide	carbon-dioxide	1.0
veins	veins	1.0
capillaries	capillaries	1.0
Belgian Revolution	1830s Belgian Revolution	0.8
23,764	23,764 square kilometres	0.5
religious ceremonies	religious ceremonies	1.0
stimulated by the bright light	the atoms are stimulated by the bright light	0.8
Norway	Norwegian	0
Around the 15th century	Around the 15th century	1.0
the German alphabet	Germany	0
Hangeul	Hangeul	1.0
gas	The gas becomes thinner	0.5
oil	agriculture	0
two hydrogen atoms and one oxygen atom	its chemical state remains the same	0
chemical state	its chemical state	0.8
upside down	upside down	1.0
national flower	an orchid hybrid	0
Britain	Britain	1.0
Operation Sealion	Operation Sealion	1.0
""Vichy"" French	the ""Vichy"" French	1.0
the Americans and Free French forces	French people	0.28571428571428575
radar	radar	1.0
shooting	shooting range	0.6666666666666666
the British captured the Italian Tenth Army's Engineer-in-Chief	killed by friendly fire	0
in Tobruk	Tobruk	0.6666666666666666
Jai Shankar Choudhary	Jai Shankar Choudhary	1.0
Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou	Cirque du Soleil	0
Italian	Italian	1.0
in Tonga	Tonga	0.6666666666666666
when he slowed down to 160km/h	when he slowed down to 160km/h	1.0
about 65 km (40 miles) south of Butte	about 20 km (15 miles) north-northeast of Dillon, and about 65 km (40 miles) south of Butte	0.6399999999999999
Abu Ghraib prison has been set alight	prison has been set alight	0.8333333333333333
prisoner abuse was discovered	prisoner abuse was discovered there after US forces took over	0.5714285714285715
protesters	protesters from the south	0.5
Bishkek residents	Several Bishkek residents	0.8
2013	2013	1.0
when his doorbell wasn't audible from his shop in his garage	when his doorbell wasn't audible from his shop in his garage	1.0
books	books that children should look for when they went to their library	0.15384615384615385
the funding crunch and a shift in the philosophy of educational television programming	funding crunch and a shift in the philosophy of educational television programming	1.0
four	four	1.0
Apple	Japan's Ministry of Economy, Trade and Industry	0
the phone	Today Apple is going to reinvent the phone	0.25
her presidential candidacy	her intention to run for president	0.2222222222222222
in La Plata	La Plata	0.8
had not breached online content censorship laws	Big Brother had not breached online content censorship laws	0.8750000000000001
physically reside on a server	it must physically reside on a server	0.8
John Howard	Peter Costello	0
Maciej Krezel	Super-G	0
Finland	the Netherlands	0
53	53	1.0
Manchester City	Palmeiras	0
Jack Layton	Jack Layton	1.0
the state government and some federal MPs	Prime Minister John Howard	0
crystals	crystals	1.0
crystals formed in cat urine	crystals formed in cat urine	1.0
Tommy Dreamer	Dustin ""Goldust"" Runnels	0
"" Dustin ""Goldust"" Runnels	Dustin ""Goldust"" Runnels	1.0
to avoid the old path of polluting first and cleaning up later	We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level	0.12903225806451613
