Reference	Predection	F1_score
للتأكد من أن الصورة تغطي الشاشة بأكملها	للتأكد من أن الصورة تغطي الشاشة بأكملها	1.0
في بوردينتاون	بوردينتاون	0.6666666666666666
جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	بطول السياج من الطرف الشمالي لمكان المستعمر	0.8750000000000001
متعددو الأشكال	متعددو الأشكال	1.0
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0
بتّات	بتّات	1.0
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل	0.8235294117647058
في نهاية العصور الوسطى	نهاية العصور الوسطى	0.8571428571428571
للحروب الصليبية	للحروب الصليبية	1.0
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0
الطبقة	الأعيرة	0
الضربات	الضربات	1.0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	معرفة الطريقة التي يعمل بها العالم من خلال منهجٍ علميٍ	0.11764705882352941
آلاف وآلاف السنين	آلاف وآلاف السنين	1.0
الاختلافات التعبيريّةً	تجميعة الاختلافات التعبيريّة	0.4
 الطفرة 	الطفرة	1.0
من خلال استخدام مختلف ورمزي للأسلوب	استخدام مختلف ورمزي للأسلوب الذي يتضمن الملابس، والتكلف، والاصطلاح	0.5333333333333333
لا يحققون نتائج جيدة في المدرسة	الأداء غير الجيد في المدرسة	0.3636363636363636
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	1.0
 أواخر العصور الوسطى	أواخر العصور الوسطى	1.0
على أعضاء الحس في جهاز الرؤية	أعضاء الحس في جهاز الرؤية أو العينين	0.7692307692307692
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	1.0
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666
سترابو	سترابو	1.0
 التصدي لهذا الغزو 	التصدي لهذا الغزو	1.0
السرج	السرج	1.0
على ظهور الخيل	على ظهور الخيل	1.0
في عام 1922	1922	0.5
اكتشاف قبره	اكتشاف قبره	1.0
فيثاغورس	هوميروس	0
في الهواء الطلق	الهواء الطلق	0.8
للمنزل	للمنزل	1.0
قبائل الإسكيمو	قبائل الإسكيمو	1.0
الرجال الأغنياء	الرجال الأغنياء	1.0
من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية	من خلال عدد أيونات الهيدروجين	0.5882352941176471
الإلكترونات	الإلكترونات	1.0
القطط متوسطة الحجم	القطط متوسطة الحجم	1.0
غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0
الشمس	الظل	0
ثاني أكسيد الكربون	الأكسجين	0
الأوردة	الأوردة	1.0
الشعيرات الدموية	الشعيرات الدموية	1.0
الثورة البلجيكية	الثورة البلجيكية	1.0
23،764	23،764	1.0
المراسم الدينيّة	المراسم الدينيّة	1.0
استخدام ضوء ساطع في تحفيز الذرات	ضوء ساطع	0.5
النرويج	نرويجي	0
حوالي القرن الخامس عشر	القرن الخامس عشر	0.8571428571428571
الأبجدية الألمانية	ألمانيا	0
 الهانجول 	الأصوات الصحيحة لتوجيه الناس	0
الغاز	الغاز	1.0
النّفط	الاقتصاد غير الرسمي. يعمل ثلثا الفنزويليين في قطاع الخدمات	0
ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0
حالته الكيميائية	حالته الكيميائية	1.0
مقلوباً	مقلوباً	1.0
هجين أوركيد	هجين أوركيد	1.0
بريطانيا	جزيرة بريطانيا	0.6666666666666666
عملية أسد البحر 	عملية أسد البحر	1.0
يحكم فرنسا ""فيشي	الشعب الفرنسي	0
الأمريكيون والقوات الفرنسية الحرة	الأمريكيون والقوات الفرنسية الحرة	1.0
الرادار	الرادار	1.0
الرّماية	بحرًا	0
 أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	قُتل	0
في طبرق	طبرق	0.6666666666666666
جاي شانكار شودري	لاكها سينغ	0
غنت المغنية التركية ""سيزين أكسو"" مع الإيطالي ""أليساندرو سافينا"" والمغني اليوناني ""هاريس أليكسيو""	طروادة	0
الإيطالي	الإيطالي	1.0
في تونغا	تونغا	0.6666666666666666
عندما قلل السرعة إلى 160 كيلومتر في ساعة	قلل السرعة إلى 160 كيلومتر في ساعة	0.9333333333333333
حوالي 65 كم (40 ميلاً) جنوب بوتي	جنوب	0.25
اشتعلت النيران في سجن أبو غريب	اشتعلت النيران	0.5
بعد اكتشاف إساءة معاملة السجناء	إساءة معاملة السجناء به	0.6666666666666665
المتظاهرين	المتظاهرين في الجنوب	0.5
سكان مدينة ""بشكيك""	العديد من سكان مدينة ""بشكيك""	0.7499999999999999
في عام 2013	2013	0.5
