Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
to ensure that the image covers the whole screen	if the video had subtitles too close to the bottom	0.1333333333333333	ensure image covers whole screen	video subtitles close bottom	0.0	0
at Bordentown	Bordentown	0.6666666666666666	Bordentown	Bordentown	1.0	1
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636	John Hancock Secretary Charles Thomson	President Congress John Hancock	0.4444444444444445	0
along the fence on the north end of the Colonist's position	New Hampshire	0.0	along fence north end Colonist 's position	New Hampshire	0.0	0
polymorphic	polymorphic	1.0	polymorphic	polymorphic	1.0	1
negative	atom	0.0	negative	atom	0.0	0
neutrons and protons	neutrons and protons	1.0	neutrons protons	neutrons protons	1.0	1
bits	bits	1.0	bits	bits	1.0	1
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Raymond Damadian	0.0	Felix Bloch ( working Stanford University ) Edward Purcell ( Harvard University )	Raymond Damadian	0.0	0
towards the end of the Middle Ages	towards the end of the Middle Ages western Europe began to develop their own style	0.5555555555555556	towards end Middle Ages	towards end Middle Ages western Europe began develop style	0.6153846153846153	0
the crusades	crusades	1.0	crusades	crusades	1.0	1
Spanish	Spanish Succession	0.6666666666666666	Spanish	Spanish Succession	0.6666666666666666	0
the Thirty Years' War	the Thirty Years' War	1.0	Thirty Years ' War	Thirty Years ' War	1.0	1
class	cailaber	0.0	class	cailaber	0.0	0
transportation	water quality or bridges falling down	0.0	transportation	water quality bridges falling	0.0	0
germ-line cells can be passed on to children	mutations in germ-line cells	0.3333333333333333	germ-line cells passed children	mutations germ-line cells	0.5714285714285715	0
strokes	strokes	1.0	strokes	strokes	1.0	1
the green	eighteenth	0.0	green	eighteenth	0.0	0
to eliminate one or more of the possible hypotheses	a test that is used to eliminate one or more of the possible hypotheses	0.8	eliminate one possible hypotheses	test used eliminate one possible hypotheses	0.8	0
thousands of years	thousands and thousands of years	0.7499999999999999	thousands years	thousands thousands years	0.8	0
expressed variation	Mutation	0.0	expressed variation	Mutation	0.0	0
Mutation	Mutation	1.0	Mutation	Mutation	1.0	1
 through a distinctive and symbolic use of style	through a distinctive and symbolic use of style	1.0	distinctive symbolic use style	distinctive symbolic use style	1.0	1
tend to not do well in school	tend to not do well in school	1.0	tend well school	tend well school	1.0	1
cultural tourism	cultural tourism	1.0	cultural tourism	cultural tourism	1.0	1
recalling previous instances of entrepreneurial behavior and resulting successes	Such success stories lessened the fears of change, while creating positive inclinations toward change in the future	0.0833333333333333	recalling previous instances entrepreneurial behavior resulting successes	success stories lessened fears change , creating positive inclinations toward change future	0.0	0
the length of time between REM states	how often your brain attempts to lucidly dream per night	0.0	length time REM states	often brain attempts lucidly dream per night	0.0	0
the Early Middle Ages	Early Middle Ages	1.0	Early Middle Ages	Early Middle Ages	1.0	1
the Late Middle Ages	Late Middle Ages	1.0	Late Middle Ages	Late Middle Ages	1.0	1
visual system sensory organs	visual system sensory organs or eyes	0.8	visual system sensory organs	visual system sensory organs eyes	0.888888888888889	0
the requirements of the organism	the requirements of the organism	1.0	requirements organism	requirements organism	1.0	1
several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	The Great Pyramid at Giza is the only one of the seven wonders that is still standing today	0.2580645161290323	several pyramids ( great pyramid largest ) , several small tombs , several temples , great Sphinx	Great Pyramid Giza one seven wonders still standing today	0.1904761904761905	0
to honor the Pharaoh Khufu	to honor the Pharaoh Khufu	1.0	honor Pharaoh Khufu	honor Pharaoh Khufu	1.0	1
Strabo	Strabo	1.0	Strabo	Strabo	1.0	1
stop this traffic	stop this traffic	1.0	stop traffic	stop traffic	1.0	1
saddle	The saddle had not yet been invented	0.2857142857142857	saddle	saddle yet invented	0.5	0
on horseback	on the bare backs of their horses	0.25	horseback	bare backs horses	0.0	0
in 1922	King Tutankhamun	0.0	1922	King Tutankhamun	0.0	0
the discovery of his tomb	"King Tut"""" or """"The Boy King"	0.0	discovery tomb	King Tut '' '' `` '' Boy King	0.0	0
blind poet	composed two masterpieces of Greek literature	0.0	blind poet	composed two masterpieces Greek literature	0.0	0
Pythagoras	Homer	0.0	Pythagoras	Homer	0.0	0
in the open air	in the open air	1.0	open air	open air	1.0	1
the house	Most of the life of the Hebrew family happened in the open air	0.0	house	life Hebrew family happened open air	0.0	0
Eskimo tribes	Erik the Red	0.0	Eskimo tribes	Erik Red	0.0	0
the rich men	Romans	0.0	rich men	Romans	0.0	0
it cedes sovereignty over Taiwan to Japan	the Qing government signs the Treaty of Shimonoseki, by which it cedes sovereignty over Taiwan to Japan	0.6363636363636364	cedes sovereignty Taiwan Japan	Qing government signs Treaty Shimonoseki , cedes sovereignty Taiwan Japan	0.6153846153846153	0
the amount of Hydrogen (the H in pH) ions in the tested chemical	by the amount of Hydrogen (the H in pH) ions in the tested chemical	0.9523809523809524	amount Hydrogen ( H pH ) ions tested chemical	amount Hydrogen ( H pH ) ions tested chemical	1.0	1
electrons	electrons	1.0	electrons	electrons	1.0	1
medium sized cats	cats that eat medium sized prey ranging from rabbits to antelopes and deer.	0.375	medium sized cats	cats eat medium sized prey ranging rabbits antelopes deer .	0.5	0
small room	Latin word cella	0.0	small room	Latin word cella	0.0	0
sun	photosynthesis	0.0	sun	photosynthesis	0.0	0
carbon-dioxide	oxygen	0.0	carbon-dioxide	oxygen	0.0	0
veins	veins	1.0	veins	veins	1.0	1
capillaries	capillaries	1.0	capillaries	capillaries	1.0	1
Belgian Revolution	Belgian Revolution	1.0	Belgian Revolution	Belgian Revolution	1.0	1
23,764	23,764 square kilometres	0.5	23,764	23,764 square kilometres	0.5	0
religious ceremonies	Vatican City uses Italian in its legislation and official communications	0.0	religious ceremonies	Vatican City uses Italian legislation official communications	0.0	0
stimulated by the bright light	stimulated emission of radiation	0.25	stimulated bright light	stimulated emission radiation	0.3333333333333333	0
Norway	Norwegian	0.0	Norway	Norwegian	0.0	0
Around the 15th century	Around the 15th century	1.0	Around 15th century	Around 15th century	1.0	1
the German alphabet	German alphabet	1.0	German alphabet	German alphabet	1.0	1
Hangeul	Hangeul	1.0	Hangeul	Hangeul	1.0	1
gas	The gas becomes thinner	0.5	gas	gas becomes thinner	0.5	0
oil	service sector, nearly a quarter work in industry and a fifth work in agriculture	0.0	oil	service sector , nearly quarter work industry fifth work agriculture	0.0	0
two hydrogen atoms and one oxygen atom	its chemical state remains the same	0.0	two hydrogen atoms one oxygen atom	chemical state remains	0.0	0
chemical state	its chemical state remains the same	0.5714285714285715	chemical state	chemical state remains	0.8	0
upside down	upside down	1.0	upside	upside	1.0	1
national flower	an orchid hybrid	0.0	national flower	orchid hybrid	0.0	0
Britain	Britain	1.0	Britain	Britain	1.0	1
Operation Sealion	Operation Sealion	1.0	Operation Sealion	Operation Sealion	1.0	1
"Vichy"""" French"	French people	0.5	Vichy '' '' French	French people	0.5	0
