Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
to ensure that the image covers the whole screen	to ensure that the image covers the whole screen	1.0	ensure image covers whole screen	ensure image covers whole screen	1.0	1
at Bordentown	Bordentown	0.6666666666666666	Bordentown	Bordentown	1.0	1
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636	John Hancock Secretary Charles Thomson	President Congress John Hancock	0.4444444444444445	0
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0	along fence north end Colonist 's position	along fence north end Colonist 's position	1.0	1
polymorphic	polymorphic	1.0	polymorphic	polymorphic	1.0	1
neutrons and protons	neutrons and protons	1.0	neutrons protons	neutrons protons	1.0	1
bits	bits	1.0	bits	bits	1.0	1
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch (working at Stanford University) and Edward Purcell	0.8571428571428571	Felix Bloch ( working Stanford University ) Edward Purcell ( Harvard University )	Felix Bloch ( working Stanford University ) Edward Purcell	0.8750000000000001	0
towards the end of the Middle Ages	end of the Middle Ages	0.888888888888889	towards end Middle Ages	end Middle Ages	0.8571428571428571	0
the crusades	the crusades	1.0	crusades	crusades	1.0	1
the Thirty Years' War	the Thirty Years' War	1.0	Thirty Years ' War	Thirty Years ' War	1.0	1
class	class	1.0	class	class	1.0	1
strokes	strokes	1.0	strokes	strokes	1.0	1
to eliminate one or more of the possible hypotheses	eliminate one or more of the possible hypotheses	0.9333333333333332	eliminate one possible hypotheses	eliminate one possible hypotheses	1.0	1
thousands of years	thousands and thousands of years	0.7499999999999999	thousands years	thousands thousands years	0.8	0
expressed variation	selection removes it from the pool of expressed variation	0.4	expressed variation	selection removes pool expressed variation	0.5714285714285715	0
Mutation	Mutation	1.0	Mutation	Mutation	1.0	1
 through a distinctive and symbolic use of style	through a distinctive and symbolic use of style	1.0	distinctive symbolic use style	distinctive symbolic use style	1.0	1
tend to not do well in school	tend to not do well in school	1.0	tend well school	tend well school	1.0	1
