Results for "All" setting
Passage, Question  , FScore, Exact Match
EN    , Iraqi    , 59.8 , 39.2 ,
EN    , Levantine, 65.4 , 46.2 ,
EN    , Gulf     , 65.4 , 43.8 ,
EN    , Moroccan , 63.0 , 41.0 ,
EN    , Egyptian , 65.7 , 45.0 ,
EN    , DA--Avg. , 63.8 , 43.0 ,1645

MSA   , Iraqi    , 51.5 , 31.3 ,
MSA   , Levantine, 58.5 , 38.3 ,
MSA   , Gulf     , 57.9 , 38.0 ,
MSA   , Moroccan , 56.5 , 36.2 ,
MSA   , Egyptian , 58.5 , 37.7 ,
MSA   , DA--Avg. , 56.6 , 36.3 ,1645

Results for "NoBB" setting
Passage, Question  , FScore, Exact Match
EN    , Iraqi    , 64.2 , 42.8 ,
EN    , Levantine, 69.7 , 50.2 ,
EN    , Gulf     , 69.5 , 48.1 ,
EN    , Moroccan , 67.0 , 44.9 ,
EN    , Egyptian , 70.0 , 49.5 ,
EN    , DA--Avg. , 68.1 , 47.1 ,1425

MSA   , Iraqi    , 53.9 , 34.0 ,
MSA   , Levantine, 62.1 , 42.1 ,
MSA   , Gulf     , 61.0 , 40.7 ,
MSA   , Moroccan , 59.4 , 39.3 ,
MSA   , Egyptian , 62.1 , 41.1 ,
MSA   , DA--Avg. , 59.7 , 39.4 ,1425

