Reference	Predection	F1_score
to ensure that the image covers the whole screen	if the video had subtitles too close to the bottom	0.13333333333333333
at Bordentown	Bordentown	0.6666666666666666
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636
along the fence on the north end of the Colonist's position	New Hampshire	0
polymorphic	polymorphic	1.0
neutrons and protons	neutrons and protons	1.0
bits	bits	1.0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Raymond Damadian	0
towards the end of the Middle Ages	towards the end of the Middle Ages western Europe began to develop their own style	0.5555555555555556
the crusades	crusades	1.0
the Thirty Years' War	the Thirty Years' War	1.0
class	cailaber	0
strokes	strokes	1.0
to eliminate one or more of the possible hypotheses	a test that is used to eliminate one or more of the possible hypotheses	0.8
thousands of years	thousands and thousands of years	0.7499999999999999
expressed variation	Mutation	0
Mutation	Mutation	1.0
 through a distinctive and symbolic use of style	through a distinctive and symbolic use of style	1.0
tend to not do well in school	tend to not do well in school	1.0
the length of time between REM states	how often your brain attempts to lucidly dream per night	0
the Late Middle Ages	Late Middle Ages	1.0
visual system sensory organs	visual system sensory organs or eyes	0.8
the requirements of the organism	the requirements of the organism	1.0
several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	The Great Pyramid at Giza is the only one of the seven wonders that is still standing today	0.2580645161290323
to honor the Pharaoh Khufu	to honor the Pharaoh Khufu	1.0
Strabo	Strabo	1.0
stop this traffic	stop this traffic	1.0
saddle	The saddle had not yet been invented	0.2857142857142857
on horseback	on the bare backs of their horses	0.25
in 1922	King Tutankhamun	0
the discovery of his tomb	King Tut"" or ""The Boy King	0
Pythagoras	Homer	0
in the open air	in the open air	1.0
the house	Most of the life of the Hebrew family happened in the open air	0
Eskimo tribes	Erik the Red	0
the rich men	Romans	0
the amount of Hydrogen (the H in pH) ions in the tested chemical	by the amount of Hydrogen (the H in pH) ions in the tested chemical	0.9523809523809523
electrons	electrons	1.0
medium sized cats	cats that eat medium sized prey ranging from rabbits to antelopes and deer.	0.375
small room	Latin word cella	0
sun	photosynthesis	0
carbon-dioxide	oxygen	0
veins	veins	1.0
capillaries	capillaries	1.0
Belgian Revolution	Belgian Revolution	1.0
