Reference	Predection	F1_score
للتأكد من أن الصورة تغطي الشاشة بأكملها	للتأكد من أن الصورة تغطي الشاشة بأكملها	1.0
في بوردينتاون	بوردينتاون	0.6666666666666666
جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	بطول السياج من الطرف الشمالي لمكان المستعمر	0.8750000000000001
متعددو الأشكال	متعددو الأشكال	1.0
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0
بتّات	بتّات	1.0
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل	0.8235294117647058
في نهاية العصور الوسطى	نهاية العصور الوسطى	0.8571428571428571
للحروب الصليبية	للحروب الصليبية	1.0
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0
الطبقة	تستند تصنيفات الجيش إلى الطبقة، فقد أصبحت الآن تعتمد على الأعيرة	0
الضربات	لإكمال الدورة يفوز	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.8571428571428571
آلاف وآلاف السنين	آلاف وآلاف السنين	1.0
الاختلافات التعبيريّةً	الچينية	0
 الطفرة 	الطفرة	1.0
من خلال استخدام مختلف ورمزي للأسلوب	يشير أعضاء الثقافات الفرعية إلى عضويتهم من خلال استخدام مختلف ورمزي للأسلوب الذي يتضمن الملابس، والتكلف، والاصطلاح	0.5217391304347826
لا يحققون نتائج جيدة في المدرسة	الأداء غير الجيد في المدرسة	0.3636363636363636
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	1.0
 أواخر العصور الوسطى	بالعصور الوسطى العليا	0.3333333333333333
على أعضاء الحس في جهاز الرؤية	أعضاء الحس	0.5
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	1.0
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666
سترابو	سترابو	1.0
 التصدي لهذا الغزو 	التصدي لهذا الغزو قوامها في هذا استخدام الغواصات	0.5454545454545454
السرج	العجلات ذات العوارض	0
على ظهور الخيل	قاتل الفرسان الآشوريون على ظهور خيولهم العارية	0.4
في عام 1922	1922	0.5
اكتشاف قبره	اكتشاف قبره	1.0
فيثاغورس	هوميروس	0
في الهواء الطلق	الهواء الطلق	0.8
للمنزل	للمنزل	1.0
قبائل الإسكيمو	إريك الأحمر	0
الرجال الأغنياء	الرجال الأغنياء	1.0
من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية	من خلال عدد أيونات الهيدروجين	0.5882352941176471
الإلكترونات	بروتونات منزوعة الإلكترونات	0.5
القطط متوسطة الحجم	القطط متوسطة الحجم	1.0
غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0
الشمس	التمثيل الضوئي	0
ثاني أكسيد الكربون	ثاني أكسيد الكربون	1.0
الأوردة	الأوردة	1.0
الشعيرات الدموية	الشعيرات الدموية	1.0
الثورة البلجيكية	الثورة البلجيكية	1.0
23،764	23،764 كيلومتر مربع	0.5
المراسم الدينيّة	الإيطالية	0
استخدام ضوء ساطع في تحفيز الذرات	ضوء ساطع	0.5
النرويج	نرويجي	0
حوالي القرن الخامس عشر	القرن الخامس عشر	0.8571428571428571
الأبجدية الألمانية	تأثير ثقافي كبير من ألمانيا	0
 الهانجول 	اخترعت عن قصد	0
الغاز	سماكة الغاز	0.6666666666666666
النّفط	ثمانية عشر في المائة من الفنزويليين عاطلون عن العمل	0
ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0
حالته الكيميائية	حالته الكيميائية	1.0
مقلوباً	مقلوباً	1.0
هجين أوركيد	هجين أوركيد	1.0
بريطانيا	بريطانيا	1.0
عملية أسد البحر 	عملية أسد البحر	1.0
يحكم فرنسا ""فيشي	الشعب الفرنسي	0
الأمريكيون والقوات الفرنسية الحرة	الشعب الفرنسي	0
الرادار	الرادار	1.0
الرّماية	نطاق الرّماية محدوداً جداً	0.4
 أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	قُتل	0
في طبرق	طبرق	0.6666666666666666
جاي شانكار شودري	لاكها سينغ	0
غنت المغنية التركية ""سيزين أكسو"" مع الإيطالي ""أليساندرو سافينا"" والمغني اليوناني ""هاريس أليكسيو""	طروادة	0
الإيطالي	الإيطالي	1.0
في تونغا	تونغا	0.6666666666666666
عندما قلل السرعة إلى 160 كيلومتر في ساعة	درجة انخفاض ""البلاك بيوتي"".	0
حوالي 65 كم (40 ميلاً) جنوب بوتي	جنوب	0.25
اشتعلت النيران في سجن أبو غريب	اشتعلت النيران في سجن أبو غريب بالعراق أثناء أحداث شغب	0.7499999999999999
