Reference	Predection	F1_score
to ensure that the image covers the whole screen	to ensure that the image covers the whole screen	1.0
at Bordentown	Bordentown	0.6666666666666666
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0
polymorphic	polymorphic	1.0
negative	electrons	0
neutrons and protons	neutrons and protons	1.0
bits	bits	1.0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch (working at Stanford University) and Edward Purcell	0.8571428571428571
towards the end of the Middle Ages	towards the end of the Middle Ages western Europe began to develop their own style	0.5555555555555556
the crusades	the crusades	1.0
Spanish	War of Spanish Succession	0.4
the Thirty Years' War	Thirty Years' War	1.0
class	cailaber	0
transportation	water quality or bridges falling down	0
germ-line cells can be passed on to children	the type of mutation	0
strokes	strokes	1.0
the green	around the hole	0
to eliminate one or more of the possible hypotheses	eliminate one or more of the possible hypotheses	0.9333333333333333
thousands of years	thousands and thousands of years	0.7499999999999999
expressed variation	expressed variation	1.0
Mutation	Mutation	1.0
 through a distinctive and symbolic use of style	through a distinctive and symbolic use of style	1.0
tend to not do well in school	tend to not do well in school	1.0
cultural tourism	cultural tourism	1.0
recalling previous instances of entrepreneurial behavior and resulting successes	success stories	0
the length of time between REM states	length of time between REM states	1.0
the Early Middle Ages	Early Middle Ages	1.0
the Late Middle Ages	Late Middle Ages	1.0
visual system sensory organs	visual system sensory organs or eyes	0.8
the requirements of the organism	the requirements	0.5
several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	1.0
to honor the Pharaoh Khufu	to honor dead Pharaoh	0.75
Strabo	Strabo	1.0
stop this traffic	stop this traffic	1.0
saddle	The saddle	1.0
on horseback	on the bare backs of their horses	0.25
in 1922	1922	0.6666666666666666
the discovery of his tomb	the discovery of his tomb	1.0
blind poet	blind	0.6666666666666666
Pythagoras	Pythagoras	1.0
in the open air	in the open air	1.0
the house	the house	1.0
Eskimo tribes	Eskimo tribes	1.0
the rich men	poor people and the woman	0
it cedes sovereignty over Taiwan to Japan	it cedes sovereignty over Taiwan to Japan	1.0
the amount of Hydrogen (the H in pH) ions in the tested chemical	by the amount of Hydrogen (the H in pH) ions in the tested chemical	0.9523809523809523
electrons	electrons	1.0
medium sized cats	cats	0.5
small room	small room	1.0
sun	sun	1.0
carbon-dioxide	carbon-dioxide	1.0
veins	veins	1.0
capillaries	capillaries	1.0
Belgian Revolution	Belgian Revolution	1.0
23,764	23,764	1.0
religious ceremonies	religious ceremonies	1.0
stimulated by the bright light	stimulated by the bright light	1.0
Norway	Norwegian	0
Around the 15th century	15th century	0.8
the German alphabet	Germany	0
Hangeul	Hangeul	1.0
gas	gas	1.0
oil	agriculture	0
two hydrogen atoms and one oxygen atom	two hydrogen atoms and one oxygen atom	1.0
chemical state	chemical state	1.0
upside down	upside down	1.0
national flower	an orchid hybrid	0
Britain	Britain	1.0
Operation Sealion	Operation Sealion	1.0
""Vichy"" French	""Vichy"" French	1.0
the Americans and Free French forces	""Vichy"" French	0.28571428571428575
radar	radar	1.0
shooting	World War I and World War II	0
the British captured the Italian Tenth Army's Engineer-in-Chief	captured	0.2857142857142857
in Tobruk	Tobruk	0.6666666666666666
Jai Shankar Choudhary	Jai Shankar Choudhary	1.0
Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou	Troy	0
Italian	Italian	1.0
in Tonga	Tonga	0.6666666666666666
when he slowed down to 160km/h	when he slowed down to 160km/h	1.0
about 65 km (40 miles) south of Butte	south	0.2222222222222222
Abu Ghraib prison has been set alight	set alight	0.4444444444444445
prisoner abuse was discovered	prisoner abuse was discovered there after US forces took over	0.5714285714285715
protesters	protesters from the south	0.5
Bishkek residents	Several Bishkek residents	0.8
2013	after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup	0.13333333333333333
when his doorbell wasn't audible from his shop in his garage	when his doorbell wasn't audible from his shop in his garage	1.0
books	why to read	0
the funding crunch and a shift in the philosophy of educational television programming	funding crunch	0.33333333333333337
Polish government	Poland	0
four	four	1.0
Apple	Japan's Ministry of Economy, Trade and Industry	0
the phone	the phone	1.0
unveiled the device	Apple is going to reinvent the phone	0
her presidential candidacy	her intention to run for president	0.2222222222222222
in La Plata	Argentine Theatre	0
had not breached online content censorship laws	Big Brother had not breached online content censorship laws	0.8750000000000001
physically reside on a server	it must physically reside on a server	0.8
John Howard	Peter Costello	0
Maciej Krezel	Maciej Krezel	1.0
Finland	Finland	1.0
53	53	1.0
Manchester City	Palmeiras	0
Jack Layton	Jack Layton	1.0
the state government and some federal MPs	Prime Minister John Howard	0
crystals	form crystals	0.6666666666666666
