Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
للتأكد من أن الصورة تغطي الشاشة بأكملها	للتأكد من أن الصورة تغطي الشاشة بأكملها	1.0	للتأكد الصورة تغطي الشاشة بأكملها	للتأكد الصورة تغطي الشاشة بأكملها	1.0	1
في بوردينتاون	بوردينتاون	0.6666666666666666	بوردينتاون	بوردينتاون	1.0	1
جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5	جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5	0
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	بطول السياج من الطرف الشمالي لمكان المستعمر	0.8750000000000001	مواقع بطول السياج الطرف الشمالي لمكان المستعمر	بطول السياج الطرف الشمالي لمكان المستعمر	0.923076923076923	0
متعددو الأشكال	متعددو الأشكال	1.0	متعددو الأشكال	متعددو الأشكال	1.0	1
سالبة	سالبة	1.0	سالبة	سالبة	1.0	1
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0	النيوترونات والبروتونات	النيوترونات والبروتونات	1.0	1
بتّات	بتّات	1.0	بتّات	بتّات	1.0	1
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل	0.8235294117647058	فيليكس بلوخ ( جامعة ستانفورد ) وإدوارد بورسيل ( جامعة هارفارد )	فيليكس بلوخ ( جامعة ستانفورد ) وإدوارد بورسيل	0.8571428571428571	0
في نهاية العصور الوسطى	نهاية العصور الوسطى	0.8571428571428571	نهاية العصور الوسطى	نهاية العصور الوسطى	1.0	1
للحروب الصليبية	للحروب الصليبية	1.0	للحروب الصليبية	للحروب الصليبية	1.0	1
الإسبانية	الخلافة الإسبانية	0.6666666666666666	الإسبانية	الخلافة الإسبانية	0.6666666666666666	0
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0	حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0	1
الطبقة	تستند تصنيفات الجيش إلى الطبقة، فقد أصبحت الآن تعتمد على الأعيرة	0.0	الطبقة	تستند تصنيفات الجيش الطبقة، فقد أصبحت تعتمد الأعيرة	0.0	0
المواصلات	أنظمة المواصلات	0.6666666666666666	المواصلات	أنظمة المواصلات	0.6666666666666666	0
يمكن فقط نقل الطفرات في خلايا الخط الجرثومي إلى الأطفال	خلايا الخط الجرثومي	0.4615384615384615	يمكن فقط نقل الطفرات خلايا الخط الجرثومي الأطفال	خلايا الخط الجرثومي	0.5454545454545454	0
الضربات	لإكمال الدورة يفوز	0.0	الضربات	لإكمال الدورة يفوز	0.0	0
الخضراء	المحيط بالحفرة	0.0	الخضراء	المحيط بالحفرة	0.0	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.8571428571428571	تفنيد واحدة الفرضيات المحتملة	لتفنيد واحدة الفرضيات المحتملة	0.75	0
آلاف وآلاف السنين	آلاف وآلاف السنين	1.0	آلاف وآلاف السنين	آلاف وآلاف السنين	1.0	1
الاختلافات التعبيريّةً	الچينية	0.0	الاختلافات التعبيريّةً	الچينية	0.0	0
 الطفرة 	الطفرة	1.0	الطفرة	الطفرة	1.0	1
من خلال استخدام مختلف ورمزي للأسلوب	يشير أعضاء الثقافات الفرعية إلى عضويتهم من خلال استخدام مختلف ورمزي للأسلوب الذي يتضمن الملابس، والتكلف، والاصطلاح	0.5217391304347826	خلال استخدام مختلف ورمزي للأسلوب	يشير أعضاء الثقافات الفرعية عضويتهم خلال استخدام مختلف ورمزي للأسلوب يتضمن الملابس، والتكلف، والاصطلاح	0.5263157894736842	0
لا يحققون نتائج جيدة في المدرسة	الأداء غير الجيد في المدرسة	0.3636363636363636	يحققون نتائج جيدة المدرسة	الأداء الجيد المدرسة	0.28571428571428575	0
السياحة الثقافية	السياحة الثقافية	1.0	السياحة الثقافية	السياحة الثقافية	1.0	1
استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0.0	استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0.0	0
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	1.0	طول المدة الزمنية تكون حالات حركة العين السريعة	طول المدة الزمنية تكون حالات حركة العين السريعة	1.0	1
