Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
to ensure that the image covers the whole screen	to please the general public	0.1818181818181818	ensure image covers whole screen	please general public	0.0	0
at Bordentown	Bordentown	0.6666666666666666	Bordentown	Bordentown	1.0	1
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock and the Secretary Charles Thomson	0.8	John Hancock Secretary Charles Thomson	President Congress John Hancock Secretary Charles Thomson	0.8333333333333333	0
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0	along fence north end Colonist 's position	along fence north end Colonist 's position	1.0	1
polymorphic	polymorphic	1.0	polymorphic	polymorphic	1.0	1
negative	negative electric charge	0.5	negative	negative electric charge	0.5	0
neutrons and protons	neutrons and protons	1.0	neutrons protons	neutrons protons	1.0	1
bits	binary digits - or bits	0.4	bits	binary digits - bits	0.5	0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch (working at Stanford University) and Edward Purcell	0.8571428571428571	Felix Bloch ( working Stanford University ) Edward Purcell ( Harvard University )	Felix Bloch ( working Stanford University ) Edward Purcell	0.8750000000000001	0
towards the end of the Middle Ages	end of the Middle Ages	0.888888888888889	towards end Middle Ages	end Middle Ages	0.8571428571428571	0
the crusades	the crusades	1.0	crusades	crusades	1.0	1
Spanish	Spanish Succession	0.6666666666666666	Spanish	Spanish Succession	0.6666666666666666	0
the Thirty Years' War	Thirty Years' War	1.0	Thirty Years ' War	Thirty Years ' War	1.0	1
class	occupations were open to all male applicants	0.0	class	occupations open male applicants	0.0	0
transportation	water quality	0.0	transportation	water quality	0.0	0
germ-line cells can be passed on to children	the type of mutation, the significance of the piece of genetic material affected and whether the cells affected are germ-line cells	0.1599999999999999	germ-line cells passed children	type mutation , significance piece genetic material affected whether cells affected germ-line cells	0.25	0
strokes	The player who takes the fewest strokes, or swings of the club, to complete the course wins	0.1428571428571428	strokes	player takes fewest strokes , swings club , complete course wins	0.19999999999999998	0
the green	around the hole	0.0	green	around hole	0.0	0
to eliminate one or more of the possible hypotheses	eliminate one or more of the possible hypotheses	0.9333333333333332	eliminate one possible hypotheses	eliminate one possible hypotheses	1.0	1
thousands of years	thousands and thousands of years	0.7499999999999999	thousands years	thousands thousands years	0.8	0
expressed variation	Mutation	0.0	expressed variation	Mutation	0.0	0
Mutation	Mutation	1.0	Mutation	Mutation	1.0	1
 through a distinctive and symbolic use of style	Members of a subculture often signal their membership through a distinctive and symbolic use of style	0.6666666666666666	distinctive symbolic use style	Members subculture often signal membership distinctive symbolic use style	0.6153846153846153	0
