Reference	Predection	F1_score
to ensure that the image covers the whole screen	to ensure that the image covers the whole screen	1.0
at Bordentown	Bordentown	0.6666666666666666
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0
polymorphic	polymorphic	1.0
negative	positive electric charge while neutrons have no charge. The electrons have a negative electric charge	0.14285714285714288
neutrons and protons	neutrons and protons	1.0
bits	binary digits	0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch (working at Stanford University) and Edward Purcell	0.8571428571428571
towards the end of the Middle Ages	slow communication channels	0
the crusades	people began to use buttons to fasten clothing	0
Spanish	Spanish Succession	0.6666666666666666
the Thirty Years' War	Thirty Years' War	1.0
class	cailaber	0
transportation	water quality	0
germ-line cells can be passed on to children	the type of mutation	0
strokes	strokes	1.0
the green	around the hole	0
to eliminate one or more of the possible hypotheses	eliminate one or more of the possible hypotheses	0.9333333333333333
thousands of years	to make distant objects appear both nearer and larger	0
expressed variation	hidden	0
Mutation	Mutation	1.0
 through a distinctive and symbolic use of style	age, ethnicity, class, location, and/or gender	0
tend to not do well in school	not do well in school	0.8333333333333333
cultural tourism	cultural tourism	1.0
recalling previous instances of entrepreneurial behavior and resulting successes	success stories	0
the length of time between REM states	REM states	0.5
the Early Middle Ages	Early Middle Ages	1.0
the Late Middle Ages	Late Middle Ages	1.0
visual system sensory organs	visual system sensory organs or eyes	0.8
the requirements of the organism	the requirements	0.5
several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	several pyramids (of which the great pyramid is the largest), several small tombs, several temples, and the great Sphinx	1.0
to honor the Pharaoh Khufu	to honor dead Pharaoh	0.75
Strabo	Strabo	1.0
stop this traffic	stop this traffic	1.0
saddle	saddle	1.0
on horseback	fought on the bare backs of their horses	0.22222222222222224
in 1922	1922	0.6666666666666666
the discovery of his tomb	the discovery of his tomb	1.0
blind poet	blind	0.6666666666666666
Pythagoras	Pythagoras	1.0
in the open air	in the open air	1.0
the house	the house	1.0
Eskimo tribes	Eskimo tribes	1.0
the rich men	poor people	0
it cedes sovereignty over Taiwan to Japan	it cedes sovereignty over Taiwan to Japan	1.0
the amount of Hydrogen (the H in pH) ions in the tested chemical	by the amount of Hydrogen (the H in pH) ions in the tested chemical	0.9523809523809523
electrons	electrons	1.0
medium sized cats	cats	0.5
small room	small room	1.0
sun	sun	1.0
carbon-dioxide	carbon-dioxide	1.0
veins	major organ	0
capillaries	capillaries	1.0
Belgian Revolution	1830s Belgian Revolution	0.8
23,764	23,764 square kilometres	0.5
religious ceremonies	religious ceremonies	1.0
stimulated by the bright light	stimulated emission of radiation"" because the atoms are stimulated by the bright light, causing the emission of a photon of light	0.38095238095238093
Norway	Norwegian	0
Around the 15th century	15th century	0.8
the German alphabet	cultural influence of Germany	0
Hangeul	the correct sounds for the instruction of the people	0
gas	gas	1.0
oil	agriculture	0
two hydrogen atoms and one oxygen atom	two hydrogen atoms and one oxygen atom	1.0
chemical state	chemical state	1.0
upside down	upside down	1.0
national flower	an orchid hybrid	0
Britain	Britain	1.0
Operation Sealion	Operation Sealion	1.0
""Vichy"" French	""Vichy"" French	1.0
the Americans and Free French forces	Americans and Free French forces	1.0
radar	radar began developing and becoming more accurate the submarines were forced to go under water to avoid being seen	0.10526315789473684
shooting	shooting range	0.6666666666666666
the British captured the Italian Tenth Army's Engineer-in-Chief	captured	0.2857142857142857
in Tobruk	Marshal Italo Balbo, the Governor-General of Libya and apparent heir to Mussolini, was killed by friendly fire	0
Jai Shankar Choudhary	Jai Shankar Choudhary	1.0
Sezen Aksu performed with the Italian tenor Alessandro Safina and Greek singer Haris Alexiou	Whirling Dervishes	0
Italian	Italian	1.0
in Tonga	Tonga	0.6666666666666666
when he slowed down to 160km/h	The New Zealand police had trouble using their speed radar guns to see how fast Mr Reid was going because of how low Black Beauty is	0.06451612903225806
about 65 km (40 miles) south of Butte	65 km (40 miles) south	0.7692307692307693
Abu Ghraib prison has been set alight	prison has been set alight	0.8333333333333333
prisoner abuse was discovered	prisoner abuse	0.6666666666666666
protesters	protesters from the south	0.5
Bishkek residents	Several Bishkek residents	0.8
2013	Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup	0.10526315789473684
when his doorbell wasn't audible from his shop in his garage	2013	0
books	recommendations for books that children should look for when they went to their library	0.13333333333333333
the funding crunch and a shift in the philosophy of educational television programming	funding crunch	0.33333333333333337
Polish government	protests in Poland	0
four	four	1.0
Apple	Japan's Ministry of Economy, Trade and Industry	0
the phone	the phone	1.0
unveiled the device	Apple is going to reinvent the phone	0
her presidential candidacy	her intention to run for president	0.2222222222222222
in La Plata	Argentine Theatre	0
