Reference	Predection	F1_score
للتأكد من أن الصورة تغطي الشاشة بأكملها	للتأكد من أن الصورة تغطي الشاشة بأكملها	1.0
في بوردينتاون	بوردينتاون	0.6666666666666666
جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	0.9411764705882353
متعددو الأشكال	أحاديو الشكل	0
سالبة	النيوترونات والبروتونات	0
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0
بتّات	1، ويُشار إلى هذه الأرقام على أنها أرقام ثنائية - أو بتّات	0.16666666666666669
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل	0.8235294117647058
في نهاية العصور الوسطى	نهاية العصور الوسطى	0.8571428571428571
للحروب الصليبية	للحروب الصليبية	1.0
الإسبانية	حرب الخلافة الإسبانية	0.5
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0
الطبقة	الأعيرة	0
المواصلات	أنظمة المواصلات	0.6666666666666666
يمكن فقط نقل الطفرات في خلايا الخط الجرثومي إلى الأطفال	نوع الطفرة	0
الضربات	كرات	0
الخضراء	ويُقصّ العشب المحيط بالحفرة	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.8571428571428571
آلاف وآلاف السنين	آلاف وآلاف السنين	1.0
الاختلافات التعبيريّةً	تجميعة الاختلافات التعبيريّة	0.4
 الطفرة 	الطفرة	1.0
من خلال استخدام مختلف ورمزي للأسلوب	استخدام مختلف ورمزي للأسلوب الذي يتضمن الملابس، والتكلف، والاصطلاح	0.5333333333333333
لا يحققون نتائج جيدة في المدرسة	الأداء غير الجيد في المدرسة	0.3636363636363636
السياحة الثقافية	السياحة الترفيهية	0.5
استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	1.0
العصور الوسطى المبكرة	بالعصور الوسطى العليا	0.3333333333333333
 أواخر العصور الوسطى	بالعصور الوسطى العليا	0.3333333333333333
على أعضاء الحس في جهاز الرؤية	أعضاء الحس في جهاز الرؤية أو العينين	0.7692307692307692
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	1.0
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666
سترابو	هيروستراتوس	0
 التصدي لهذا الغزو 	التصدي لهذا الغزو	1.0
السرج	لم يكن السرج قد اخترع بعد	0.2857142857142857
على ظهور الخيل	الآشوريون	0
في عام 1922	العصر الحديث	0
اكتشاف قبره	اكتشاف قبره	1.0
 فقد بصره	فقد بصره	1.0
فيثاغورس	هوميروس	0
في الهواء الطلق	الهواء الطلق	0.8
للمنزل	للمنزل	1.0
قبائل الإسكيمو	قبائل الإسكيمو	1.0
الرجال الأغنياء	الرجال الأغنياء	1.0
تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان	تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان التي حكمت الجزيرة حتى عام 1945	0.7499999999999999
من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية	من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية المُراد اختبارها	0.923076923076923
الإلكترونات	بروتونات منزوعة الإلكترونات	0.5
القطط متوسطة الحجم	القطط متوسطة الحجم	1.0
غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0
الشمس	تصنع النباتات طعامها من الشمس	0.33333333333333337
ثاني أكسيد الكربون	ثاني أكسيد الكربون	1.0
الأوردة	الأوردة	1.0
الشعيرات الدموية	الشعيرات الدموية	1.0
الثورة البلجيكية	الثورة البلجيكية	1.0
23،764	23،764	1.0
المراسم الدينيّة	المراسم الدينيّة	1.0
استخدام ضوء ساطع في تحفيز الذرات	ضوء ساطع	0.5
النرويج	نرويجي	0
حوالي القرن الخامس عشر	القرن الخامس عشر	0.8571428571428571
الأبجدية الألمانية	ألمانيا	0
 الهانجول 	الهانجول	1.0
الغاز	الغاز	1.0
النّفط	الاقتصاد غير الرسمي	0
ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0
حالته الكيميائية	الجزيئات	0
مقلوباً	مقلوباً	1.0
هجين أوركيد	عبارة عن هجين أوركيد	0.6666666666666666
بريطانيا	بريطانيا	1.0
عملية أسد البحر 	عملية أسد البحر	1.0
يحكم فرنسا ""فيشي	فيشي	0.5
الأمريكيون والقوات الفرنسية الحرة	الأمريكيون والقوات الفرنسية الحرة	1.0
الرادار	الرادار	1.0
الرّماية	الحرب العالميّة الأولى والثّانية	0
