Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
to ensure that the image covers the whole screen	to ensure that the image covers the whole screen	1.0	ensure image covers whole screen	ensure image covers whole screen	1.0	1
at Bordentown	Bordentown	0.6666666666666666	Bordentown	Bordentown	1.0	1
John Hancock and the Secretary Charles Thomson	President of Congress John Hancock	0.3636363636363636	John Hancock Secretary Charles Thomson	President Congress John Hancock	0.4444444444444445	0
along the fence on the north end of the Colonist's position	along the fence on the north end of the Colonist's position	1.0	along fence north end Colonist 's position	along fence north end Colonist 's position	1.0	1
polymorphic	polymorphic	1.0	polymorphic	polymorphic	1.0	1
negative	positive electric charge while neutrons have no charge. The electrons have a negative electric charge	0.1428571428571428	negative	positive electric charge neutrons charge . electrons negative electric charge	0.19999999999999998	0
neutrons and protons	neutrons and protons	1.0	neutrons protons	neutrons protons	1.0	1
bits	binary digits	0.0	bits	binary digits	0.0	0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Felix Bloch (working at Stanford University) and Edward Purcell	0.8571428571428571	Felix Bloch ( working Stanford University ) Edward Purcell ( Harvard University )	Felix Bloch ( working Stanford University ) Edward Purcell	0.8750000000000001	0
towards the end of the Middle Ages	slow communication channels	0.0	towards end Middle Ages	slow communication channels	0.0	0
the crusades	people began to use buttons to fasten clothing	0.0	crusades	people began use buttons fasten clothing	0.0	0
Spanish	Spanish Succession	0.6666666666666666	Spanish	Spanish Succession	0.6666666666666666	0
the Thirty Years' War	Thirty Years' War	1.0	Thirty Years ' War	Thirty Years ' War	1.0	1
class	cailaber	0.0	class	cailaber	0.0	0
transportation	water quality	0.0	transportation	water quality	0.0	0
germ-line cells can be passed on to children	the type of mutation	0.0	germ-line cells passed children	type mutation	0.0	0
strokes	strokes	1.0	strokes	strokes	1.0	1
the green	around the hole	0.0	green	around hole	0.0	0
to eliminate one or more of the possible hypotheses	eliminate one or more of the possible hypotheses	0.9333333333333332	eliminate one possible hypotheses	eliminate one possible hypotheses	1.0	1
