Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
to ensure that the image covers the whole screen	overscan	0.0	ensure image covers whole screen	overscan	0.0	0
at Bordentown	Bordentown	0.6666666666666666	Bordentown	Bordentown	1.0	1
John Hancock and the Secretary Charles Thomson	The original handwritten copy has not survived	0.0	John Hancock Secretary Charles Thomson	original handwritten copy survived	0.0	0
along the fence on the north end of the Colonist's position	New Hampshire	0.0	along fence north end Colonist 's position	New Hampshire	0.0	0
polymorphic	polymorphic	1.0	polymorphic	polymorphic	1.0	1
negative	negative electric charge	0.5	negative	negative electric charge	0.5	0
neutrons and protons	The atom	0.0	neutrons protons	atom	0.0	0
bits	1	0.0	bits	1	0.0	0
Felix Bloch (working at Stanford University) and Edward Purcell (from Harvard University)	Raymond Damadian	0.0	Felix Bloch ( working Stanford University ) Edward Purcell ( Harvard University )	Raymond Damadian	0.0	0
towards the end of the Middle Ages	towards the end of the Middle Ages	1.0	towards end Middle Ages	towards end Middle Ages	1.0	1
the crusades	crusades	1.0	crusades	crusades	1.0	1
Spanish	The War of Spanish Succession	0.4	Spanish	War Spanish Succession	0.5	0
the Thirty Years' War	the Thirty Years' War	1.0	Thirty Years ' War	Thirty Years ' War	1.0	1
class	after the Revolution occupations were open to all male applicants allowing the most ambitious and successful to succeed.	0.0	class	Revolution occupations open male applicants allowing ambitious successful succeed .	0.0	0
transportation	transportation systems. Almost everyone complains about transportation systems	0.2222222222222222	transportation	transportation systems . Almost everyone complains transportation systems	0.25	0
germ-line cells can be passed on to children	Only mutations in germ-line cells	0.3076923076923077	germ-line cells passed children	mutations germ-line cells	0.5714285714285715	0
strokes	The player who takes the fewest strokes, or swings of the club, to complete the course wins	0.1428571428571428	strokes	player takes fewest strokes , swings club , complete course wins	0.19999999999999998	0
the green	the grass around the hole is mown shorter and called the green	0.1999999999999999	green	grass around hole mown shorter called green	0.25	0
to eliminate one or more of the possible hypotheses	Science’s main goal is to figure out the way the world works through the scientific method	0.0952380952380952	eliminate one possible hypotheses	Science ’ main goal figure way world works scientific method	0.0	0
thousands of years	thousands and thousands of years	0.7499999999999999	thousands years	thousands thousands years	0.8	0
expressed variation	Twentieth century research has shown that there are two pools of genetic variation: hidden and expressed	0.2222222222222222	expressed variation	Twentieth century research shown two pools genetic variation : hidden expressed	0.33333333333333337	0
Mutation	Mutation	1.0	Mutation	Mutation	1.0	1
 through a distinctive and symbolic use of style	Subcultures bring together like-minded individuals who feel neglected by societal standards	0.0	distinctive symbolic use style	Subcultures bring together like-minded individuals feel neglected societal standards	0.0	0
tend to not do well in school	children who identify with a racial minority that is stereotyped as not doing well in school tend to not do well in school	0.4827586206896552	tend well school	children identify racial minority stereotyped well school tend well school	0.4615384615384615	0
cultural tourism	cultural tourism	1.0	cultural tourism	cultural tourism	1.0	1
recalling previous instances of entrepreneurial behavior and resulting successes	lessened the fears of change, while creating positive inclinations toward change in the future	0.0952380952380952	recalling previous instances entrepreneurial behavior resulting successes	lessened fears change , creating positive inclinations toward change future	0.0	0
the length of time between REM states	how often your brain attempts to lucidly dream per night	0.0	length time REM states	often brain attempts lucidly dream per night	0.0	0
