Reference	Predection	F1_score	reference_no_stop_words	prediction_no_stop_words	F1 Score_new	Exact Score_new
للتأكد من أن الصورة تغطي الشاشة بأكملها	للتأكد من أن الصورة تغطي الشاشة بأكملها	1.0	للتأكد الصورة تغطي الشاشة بأكملها	للتأكد الصورة تغطي الشاشة بأكملها	1.0	1
في بوردينتاون	بوردينتاون	0.6666666666666666	بوردينتاون	بوردينتاون	1.0	1
جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5	جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5	0
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	0.9411764705882352	مواقع بطول السياج الطرف الشمالي لمكان المستعمر	مواقع بطول السياج الطرف الشمالي لمكان المستعمر	1.0	1
متعددو الأشكال	أحاديو الشكل	0.0	متعددو الأشكال	أحاديو الشكل	0.0	0
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0	النيوترونات والبروتونات	النيوترونات والبروتونات	1.0	1
بتّات	بتّات	1.0	بتّات	بتّات	1.0	1
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل	0.8235294117647058	فيليكس بلوخ ( جامعة ستانفورد ) وإدوارد بورسيل ( جامعة هارفارد )	فيليكس بلوخ ( جامعة ستانفورد ) وإدوارد بورسيل	0.8571428571428571	0
في نهاية العصور الوسطى	نهاية العصور الوسطى، بدأت أوروبا الغربية في تطوير أسلوبها الخاص	0.4285714285714285	نهاية العصور الوسطى	نهاية العصور الوسطى، بدأت أوروبا الغربية تطوير أسلوبها الخاص	0.3333333333333333	0
للحروب الصليبية	لربط الملابس	0.0	للحروب الصليبية	لربط الملابس	0.0	0
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0	حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0	1
الطبقة	المتقدّمين الذكور	0.0	الطبقة	المتقدّمين الذكور	0.0	0
الضربات	كرات	0.0	الضربات	كرات	0.0	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.8571428571428571	تفنيد واحدة الفرضيات المحتملة	لتفنيد واحدة الفرضيات المحتملة	0.75	0
آلاف وآلاف السنين	آلاف وآلاف السنين	1.0	آلاف وآلاف السنين	آلاف وآلاف السنين	1.0	1
الاختلافات التعبيريّةً	الچينية	0.0	الاختلافات التعبيريّةً	الچينية	0.0	0
 الطفرة 	الفصل وإعادة التركيب	0.0	الطفرة	الفصل وإعادة التركيب	0.0	0
من خلال استخدام مختلف ورمزي للأسلوب	العمر والعِرق والطبقة والموقع و/أو جنس الأعضاء	0.0	خلال استخدام مختلف ورمزي للأسلوب	العمر والعِرق والطبقة والموقع و/أو جنس الأعضاء	0.0	0
لا يحققون نتائج جيدة في المدرسة	الأداء غير الجيد في المدرسة	0.3636363636363636	يحققون نتائج جيدة المدرسة	الأداء الجيد المدرسة	0.28571428571428575	0
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	1.0	طول المدة الزمنية تكون حالات حركة العين السريعة	طول المدة الزمنية تكون حالات حركة العين السريعة	1.0	1
 أواخر العصور الوسطى	أواخر العصور الوسطى	1.0	أواخر العصور الوسطى	أواخر العصور الوسطى	1.0	1
على أعضاء الحس في جهاز الرؤية	أعضاء الحس في جهاز الرؤية أو العينين	0.7692307692307692	أعضاء الحس جهاز الرؤية	أعضاء الحس جهاز الرؤية العينين	0.888888888888889	0
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0	احتياجات الكائن الحي	احتياجات الكائن الحي	1.0	1
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	الهرم الأكبر	0.3333333333333333	عدة أهرامات ( أكبرها الهرم الأكبر ) ومقابر صغيرة ومعابد وأبو الهول	الهرم الأكبر	0.33333333333333337	0
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666	0
سترابو	سترابو	1.0	سترابو	سترابو	1.0	1
 التصدي لهذا الغزو 	استخدام الغواصات	0.0	التصدي لهذا الغزو	استخدام الغواصات	0.0	0
السرج	اختراع العجلات ذات العوارض	0.0	السرج	اختراع العجلات العوارض	0.0	0
